"Artist","Track","streams","Lookup","id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","explicit","song_popularity","album_name","album_id","cluster"
"Adele","Chasing Pavements",12,"Adele%20Chasing%20Pavements%20%20","56pHllZT7QOacB0bP56ofx","4dpARuHxo51G3z768sgnrY",0.616,0.47,"5",-6.092,"0",0.0253,0.291,0,0.111,0.325,80.03,210507,"4",FALSE,72,"19","59ULskOkBMij4zL8pS7mi0","4: Sad Bops"
"Adele","Easy on Me",19,"Adele%20Easy%20on%20Me%20%20","0gplL1WMoJ6iYaPgMCL0gX","4dpARuHxo51G3z768sgnrY",0.604,0.366,"5",-7.519,"1",0.0282,0.578,0,0.133,0.13,141.981,224695,"4",FALSE,84,"Easy On Me","224jZ4sUX7OhAuMwaxp86S","4: Sad Bops"
"Adele","Hello",228,"Adele%20Hello%20%20","62PaSfnXSMyLshYJrlTuL3","4dpARuHxo51G3z768sgnrY",0.578,0.43,"5",-6.134,"0",0.0305,0.33,0,0.0854,0.288,78.991,295502,"4",FALSE,75,"25","3AvPX1B1HiFROvYjLb5Qwi","4: Sad Bops"
"Adele","Love Is a Game",25,"Adele%20Love%20Is%20a%20Game%20%20","2j3GxEsbNYNeEzz86wDY4J","4dpARuHxo51G3z768sgnrY",0.269,0.591,"10",-5.79,"0",0.0416,0.453,0.000695,0.0702,0.228,183.793,403044,"4",FALSE,67,"30","21jF5jlMtzo94wbxmJ18aa","6: Energy Pop"
"Adele","Make You Feel My Love",12,"Adele%20Make%20You%20Feel%20My%20Love%20%20","5FgPwJ7Nh2FVmIXviKl2VF","4dpARuHxo51G3z768sgnrY",0.317,0.172,"10",-10.636,"1",0.0326,0.907,0.000383,0.105,0.0963,65.18,212040,"3",FALSE,76,"19","59ULskOkBMij4zL8pS7mi0","2. ""The Feels"""
"Adele","Rolling in the Deep",24,"Adele%20Rolling%20in%20the%20Deep%20%20","1c8gk2PeTE04A1pIDH9YMk","4dpARuHxo51G3z768sgnrY",0.73,0.769,"8",-5.114,"1",0.0298,0.138,0,0.0473,0.507,104.948,228093,"4",TRUE,82,"21","0Lg1uZvI312TPqxNWShFXL","8: Anthem Songs"
"Adele","Set Fire to the Rain",25,"Adele%20Set%20Fire%20to%20the%20Rain%20%20","73CMRj62VK8nUS4ezD2wvi","4dpARuHxo51G3z768sgnrY",0.603,0.67,"2",-3.882,"0",0.0249,0.00408,0.00000168,0.112,0.446,107.993,242974,"4",FALSE,83,"21","0Lg1uZvI312TPqxNWShFXL","8: Anthem Songs"
"Adele","Skyfall",7,"Adele%20Skyfall%20%20","6VObnIkLVruX4UVyxWhlqm","4dpARuHxo51G3z768sgnrY",0.346,0.552,"0",-6.864,"0",0.0282,0.417,0,0.114,0.0789,75.881,286480,"4",FALSE,80,"Skyfall","6TwN6Lq9glwnG8kNp6chHY","4: Sad Bops"
"Adele","Someone Like You",15,"Adele%20Someone%20Like%20You%20%20","1zwMYTA5nlNjZxYrvBB2pV","4dpARuHxo51G3z768sgnrY",0.556,0.319,"9",-8.251,"1",0.0281,0.893,0,0.0996,0.294,135.187,285240,"4",FALSE,81,"21","0Lg1uZvI312TPqxNWShFXL","4: Sad Bops"
"Adele","To Be Loved",22,"Adele%20To%20Be%20Loved%20%20","10ImcQk9tihY1EKMDIbvXJ","4dpARuHxo51G3z768sgnrY",0.356,0.176,"8",-8.291,"1",0.0391,0.843,0,0.231,0.289,170.425,403962,"1",FALSE,69,"30","21jF5jlMtzo94wbxmJ18aa","4: Sad Bops"
