"Artist","Track","streams","Lookup","id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","explicit","song_popularity","album_name","album_id","cluster"
"Cascada","Blink (Radio Edit)",77,"Cascada%20Blink%20(Radio%20Edit)%20%20","752ufC3OBrpe8JG3aWWtmP","0N0d3kjwdY2h7UVuTdJGfp",0.479,0.89,"8",-2.347,"0",0.0988,0.00098,0,0.0825,0.437,127.881,232500,"3",FALSE,22,"Blink","7F4N6UBcApG1BIA4td9Cm1","6: Energy Pop"
"Cascada","Evacuate the Dancefloor",46,"Cascada%20Evacuate%20the%20Dancefloor%20%20","360ZhWvMnyXKYFG9Mqsm89","0N0d3kjwdY2h7UVuTdJGfp",0.76,0.696,"0",-5.811,"1",0.0491,0.0195,0,0.278,0.903,127.029,205884,"4",FALSE,65,"Evacuate The Dancefloor","0ETokTQHIe79SG4xAFmKRo","7: Dance Songs"
"Cascada","Everytime We Touch",310,"Cascada%20Everytime%20We%20Touch%20%20","5YJtMNWKe55yr49cyJgxva","0N0d3kjwdY2h7UVuTdJGfp",0.633,0.976,"8",-5.362,"1",0.0519,0.00281,0.0000129,0.382,0.493,142.027,197124,"4",FALSE,73,"Everytime We Touch (Premium Edition)","2unbJ7dUr9mITQiMwWFqQD","5: Live Songs"
"Cascada","everytime we touch - Yanou's Candlelight Mix",5,"Cascada%20everytime%20we%20touch%20-%20Yanous%20Candlelight%20Mix%20%20","1BN6y3MnML0hvcqcGZHSkz","0N0d3kjwdY2h7UVuTdJGfp",0.445,0.173,"5",-11.068,"0",0.0356,0.928,0,0.243,0.305,113.882,195773,"4",FALSE,49,"Everytime We Touch (Premium Edition)","2unbJ7dUr9mITQiMwWFqQD","2. ""The Feels"""
"Cascada","Playground",12,"Cascada%20Playground%20%20","5dIBnm1zjSBnNpJOhlayFo","0N0d3kjwdY2h7UVuTdJGfp",0.563,0.778,"5",-4.638,"1",0.0604,0.0275,0.00000799,0.0953,0.306,126.047,205759,"4",FALSE,28,"Playground","25Ovk10LElwBT5NYq70B1s","8: Anthem Songs"
"Cascada","What Hurts The Most",6,"Cascada%20What%20Hurts%20The%20Most%20%20","2rVa6UVT2f95l3bGcMGCWQ","0N0d3kjwdY2h7UVuTdJGfp",0.579,0.981,"9",-7.433,"1",0.0994,0.00991,0.0000322,0.515,0.276,142.025,218586,"4",FALSE,50,"Perfect Day","33PsrSS1xpCUl1kJy39DZV","5: Live Songs"
"Cash Cash","Surrender",25,"Cash%20Cash%20Surrender%20%20","0bmB3nzQuHBfI6nM4SETVu","1LOB7jTeEV14pHai6EXSzF",0.542,0.894,"1",-2.879,"1",0.0676,0.0236,0,0.132,0.296,127.947,208133,"4",FALSE,47,"Blood, Sweat & 3 Years","1TgJXcoFJ7BN0NiViN7wtx","8: Anthem Songs"
"Cash Cash","Take Me Home (feat. Bebe Rexha)",22,"Cash%20Cash%20Take%20Me%20Home%20(feat.%20Bebe%20Rexha)%20%20","2zMXH5k5NZy1Nw460bLvRh","1LOB7jTeEV14pHai6EXSzF",0.571,0.903,"7",-2.184,"1",0.214,0.0615,0.00000123,0.186,0.477,127.951,206320,"4",FALSE,59,"Blood, Sweat & 3 Years","1TgJXcoFJ7BN0NiViN7wtx","3: ""Speak"" Pop"
"Cass Elliot","Make Your Own Kind of Music",47,"Cass%20Elliot%20Make%20Your%20Own%20Kind%20of%20Music%20%20","6H3Wa6hWR9DRMzMSd4pZkT","5jX7X3kRkfJTRqAdT7RcHk",0.53,0.562,"4",-13.018,"1",0.0409,0.613,0.00000137,0.257,0.697,121.081,139533,"4",FALSE,68,"Mama's Big Ones","3x44BijmAfm1N7Cs7yILL4","4: Sad Bops"
"Celine Dion","All by Myself",20,"Celine%20Dion%20All%20by%20Myself%20%20","0gsl92EMIScPGV1AU35nuD","4S9EykWXhStSc15wEx8QFK",0.344,0.325,"11",-10.005,"0",0.0287,0.35,0.0223,0.0686,0.0775,118.515,312307,"4",FALSE,69,"Falling into You","2vk0n8aeQSO74VtQBbNDPR","4: Sad Bops"
"Celine Dion","Ashes",98,"Celine%20Dion%20Ashes%20%20","7FihoA0WgTT21DkWR7wbYR","4S9EykWXhStSc15wEx8QFK",0.342,0.425,"0",-9.064,"0",0.0425,0.459,0,0.122,0.115,110.62,199507,"4",FALSE,63,"Ashes (from ""Deadpool 2"" Motion Picture Soundtrack)","3NrXBJmXedum2g4vKr3d9y","4: Sad Bops"
"Celine Dion","Ave Maria",16,"Celine%20Dion%20Ave%20Maria%20%20","7v6DvsyQHmsQQhmVDmrnZg","4S9EykWXhStSc15wEx8QFK",0.262,0.19,"7",-12.314,"1",0.0335,0.891,0.000239,0.107,0.0654,79.456,295973,"3",FALSE,44,"These are Special Times","5k27z7TrQn2O0mKMoiwHzN","2. ""The Feels"""
"Celine Dion","Beauty and the Beast - Duet with Peabo Bryson from the Soundtrack Beauty and the Beast",12,"Celine%20Dion%20Beauty%20and%20the%20Beast","7B3UAPLYAbwXVgbHSKEaTw","4S9EykWXhStSc15wEx8QFK",0.463,0.4,"6",-9.999,"0",0.0308,0.643,0.0000246,0.131,0.121,77.314,249240,"4",FALSE,67,"Celine Dion","7C6LFxLn63uasNoDIQ5khO","4: Sad Bops"
"Celine Dion","Because You Loved Me",15,"Celine%20Dion%20Because%20You%20Loved%20Me%20%20","28UMiBhn383n9S7GL4tsxD","4S9EykWXhStSc15wEx8QFK",0.615,0.467,"1",-9.883,"1",0.0327,0.314,0,0.099,0.177,119.919,273667,"4",FALSE,75,"Falling into You","2vk0n8aeQSO74VtQBbNDPR","4: Sad Bops"
"Celine Dion","Don't Save It All for Christmas Day",27,"Celine%20Dion%20Dont%20Save%20It%20All%20for%20Christmas%20Day%20%20","4ruIMJnh6mPhiNWE9amaEF","4S9EykWXhStSc15wEx8QFK",0.34,0.598,"3",-5.713,"1",0.0415,0.412,0,0.271,0.129,107.892,277360,"3",FALSE,28,"These are Special Times","5k27z7TrQn2O0mKMoiwHzN","4: Sad Bops"
"Celine Dion","I Drove All Night",6,"Celine%20Dion%20I%20Drove%20All%20Night%20%20","3zN4OLeBAN7LwAr442bB8E","4S9EykWXhStSc15wEx8QFK",0.566,0.912,"11",-4.198,"1",0.0629,0.00051,0,0.215,0.644,134.994,240600,"4",FALSE,60,"One Heart","1H4QtgObVxPXea86RvJgv9","7: Dance Songs"
"Celine Dion","It's All Coming Back to Me Now",19,"Celine%20Dion%20Its%20All%20Coming%20Back%20to%20Me%20Now%20%20","5EQzuYfTZt7B2LqlvTF49l","4S9EykWXhStSc15wEx8QFK",0.384,0.438,"0",-9.149,"1",0.0362,0.753,0,0.101,0.287,87.903,456867,"4",FALSE,74,"Falling into You","2vk0n8aeQSO74VtQBbNDPR","4: Sad Bops"
"Celine Dion","My Heart Will Go On",19,"Celine%20Dion%20My%20Heart%20Will%20Go%20On%20%20","33LC84JgLvK2KuW43MfaNq","4S9EykWXhStSc15wEx8QFK",0.428,0.276,"4",-11.729,"1",0.0312,0.732,0.00000533,0.117,0.0382,99.195,280000,"1",FALSE,76,"Let's Talk About Love","1tfS7Fo1UtAxQSf256fnYs","2. ""The Feels"""
"Celine Dion","O Holy Night",28,"Celine%20Dion%20O%20Holy%20Night%20%20","5547x0ZawobhfSeh2QKAca","4S9EykWXhStSc15wEx8QFK",0.161,0.295,"7",-8.873,"1",0.0378,0.717,0.00000318,0.0945,0.0565,76.938,320760,"4",FALSE,37,"These are Special Times","5k27z7TrQn2O0mKMoiwHzN","2. ""The Feels"""
"Celine Dion","That's the Way It Is",30,"Celine%20Dion%20Thats%20the%20Way%20It%20Is%20%20","5s4catxeZsaWFnOrvrXZHf","4S9EykWXhStSc15wEx8QFK",0.634,0.886,"9",-5.424,"1",0.0434,0.154,0,0.118,0.577,93.04,241373,"4",FALSE,67,"The Very Best of Celine Dion","51DfHvunyUysUZoBJEwbF8","8: Anthem Songs"
"Celine Dion","The Power of Love",9,"Celine%20Dion%20The%20Power%20of%20Love%20%20","5kK1Iru9ogP3Iy1zsANU1n","4S9EykWXhStSc15wEx8QFK",0.546,0.519,"8",-9.072,"1",0.0291,0.36,0.00046,0.24,0.247,140.054,342400,"4",FALSE,72,"The Colour Of My Love","6Po5zdKMIH5Xk99vjXyQpC","4: Sad Bops"
"Chaka Khan","Ain't Nobody",60,"Chaka%20Khan%20Aint%20Nobody%20%20","2NVpYQqdraEcQwqT7GhUkh","6mQfAAqZGBzIfrmlZCeaYT",0.8,0.878,"1",-7.109,"1",0.0434,0.189,0.000104,0.14,0.816,104.282,280853,"4",FALSE,69,"Epiphany: The Best of Chaka Khan, Vol. 1","3qeheeurjW0lNtf9d7hJLe","7: Dance Songs"
"Chantal Kreviazuk","In This Life",7,"Chantal%20Kreviazuk%20In%20This%20Life%20%20","6AdkSwco6gw7vq2x1HP3vN","1x1NsoNPyVy6FlgSLSovSk",0.44,0.718,"0",-5.113,"1",0.0279,0.0331,0.00000191,0.177,0.237,77.904,229600,"4",FALSE,35,"What If It All Means Something","7pgz5zZ0umsGd4vKNhR2lV","8: Anthem Songs"
"Charli Adams","Backseat",46,"Charli%20Adams%20Backseat%20%20","7iAe59rISAkaf1LYzctFwe","2RzQznPCFWvnq3wBh0zzD2",0.623,0.535,"8",-8.081,"1",0.0245,0.00136,0.000141,0.128,0.5,95.964,282629,"4",FALSE,41,"Backseat","7vWLAPhEjGg9tRYWF9K5IW","8: Anthem Songs"
"Charli XCX","After the Afterparty (feat. Lil Yachty)",86,"Charli%20XCX%20After%20the%20Afterparty%20(feat.%20Lil%20Yachty)%20%20","0y8Wf6ltWpGCpgqVa21QNX","25uiPmTg16RbhZWAqwLBy5",0.653,0.794,"7",-3.828,"1",0.0894,0.121,0,0.365,0.645,93.008,219480,"4",FALSE,52,"After the Afterparty (feat. Lil Yachty)","4Txd0wc4WAgnoxXx0SLAlw","5: Live Songs"
"Charli XCX","Backseat (feat. Carly Rae Jepsen)",118,"Charli%20XCX%20Backseat%20(feat.%20Carly%20Rae%20Jepsen)%20%20","4HjtHraeKy5wA4DA9o92HZ","25uiPmTg16RbhZWAqwLBy5",0.626,0.607,"5",-5.139,"1",0.0409,0.247,0.00000156,0.393,0.339,120.04,238093,"4",FALSE,47,"Pop 2","2HIwUmdxEl7SeWa1ndH5wC","5: Live Songs"
"Charli XCX","Beg for You (feat. Rina Sawayama)",5,"Charli%20XCX%20Beg%20for%20You%20(feat.%20Rina%20Sawayama)%20%20","11M8c9SHQYpd8DOrmcu25k","25uiPmTg16RbhZWAqwLBy5",0.788,0.945,"9",-5.091,"1",0.0599,0.223,0.00000297,0.115,0.466,128.036,168053,"4",FALSE,65,"CRASH (Deluxe)","3lb7EyEcWhZOK0SpZ2dNpn","7: Dance Songs"
"Charli XCX","Break the Rules",20,"Charli%20XCX%20Break%20the%20Rules%20%20","0A5qqtFMG1qrNQEcjvr1A2","25uiPmTg16RbhZWAqwLBy5",0.676,0.926,"0",-2.244,"0",0.0425,0.0305,0.000658,0.0771,0.818,124.019,203908,"4",TRUE,52,"SUCKER","5Ws5ktkIUJFpaIImvH3tYU","7: Dance Songs"
"Charli XCX","Doing It (feat. Rita Ora)",12,"Charli%20XCX%20Doing%20It%20(feat.%20Rita%20Ora)%20%20","0TkwJ7TLLnnckRL3PkdPsU","25uiPmTg16RbhZWAqwLBy5",0.611,0.947,"4",-1.538,"0",0.0558,0.0282,0,0.303,0.564,105.94,228520,"4",FALSE,37,"SUCKER","5Ws5ktkIUJFpaIImvH3tYU","5: Live Songs"
"Charli XCX","Femmebot (feat. Dorian Electra and Mykki Blanco)",7,"Charli%20XCX%20Femmebot%20(feat.%20Dorian%20Electra%20and%20Mykki%20Blanco)%20%20","1qZuf7zgRHKgfSijGm2CTy","25uiPmTg16RbhZWAqwLBy5",0.742,0.656,"11",-6.409,"0",0.0744,0.0984,0,0.114,0.874,129.946,218253,"4",TRUE,47,"Pop 2","2HIwUmdxEl7SeWa1ndH5wC","7: Dance Songs"
"Charli XCX","Good Ones",257,"Charli%20XCX%20Good%20Ones%20%20","2grSOc6HNTXQQXNoRKt9UM","25uiPmTg16RbhZWAqwLBy5",0.764,0.672,"7",-5.947,"0",0.0293,0.072,0.00000332,0.0806,0.789,129.049,136614,"4",FALSE,67,"CRASH (Deluxe)","3lb7EyEcWhZOK0SpZ2dNpn","7: Dance Songs"
"Charli XCX","How Can I Not Know What I Need Right Now",191,"Charli%20XCX%20How%20Can%20I%20Not%20Know%20What%20I%20Need%20Right%20Now%20%20","29KYqUjF9Oc9NCxvs7srlP","25uiPmTg16RbhZWAqwLBy5",0.604,0.916,"6",-4.526,"0",0.0709,0.0299,0.000415,0.372,0.694,119.986,157099,"4",FALSE,48,"CRASH (Deluxe)","3lb7EyEcWhZOK0SpZ2dNpn","5: Live Songs"
"Charli XCX","ILY2",63,"Charli%20XCX%20ILY2%20%20","1KPS1MHPrq9uPklJX8Q4XW","25uiPmTg16RbhZWAqwLBy5",0.608,0.88,"1",-5.884,"0",0.0686,0.00163,0.000403,0.206,0.227,99.99,196584,"4",FALSE,42,"Number 1 Angel","37rI2gAtakAmSFtbIE9THq","8: Anthem Songs"
"Charli XCX","New Shapes (feat. Christine and the Queens and Caroline Polachek)",84,"Charli%20XCX%20New%20Shapes%20(feat.%20Christine%20and%20the%20Queens%20and%20Caroline%20Polachek)%20%20","1K9yH9EpJsH2kXWX4ozH68","25uiPmTg16RbhZWAqwLBy5",0.735,0.74,"0",-4.929,"1",0.0552,0.111,0,0.032,0.553,107.061,200688,"4",TRUE,57,"CRASH (Deluxe)","3lb7EyEcWhZOK0SpZ2dNpn","7: Dance Songs"
"Charli XCX","Sorry if I Hurt You",325,"Charli%20XCX%20Sorry%20if%20I%20Hurt%20You%20%20","2qbgcxEMIZgyHAySxxHywc","25uiPmTg16RbhZWAqwLBy5",0.556,0.826,"11",-4.669,"0",0.0356,0.0293,0,0.236,0.0718,127.968,161493,"4",FALSE,48,"CRASH (Deluxe)","3lb7EyEcWhZOK0SpZ2dNpn","8: Anthem Songs"
"Charli XCX","Track 10",156,"Charli%20XCX%20Track%2010%20%20","4t9PBD27dndlf6YMBK2ROc","25uiPmTg16RbhZWAqwLBy5",0.64,0.652,"5",-5.07,"1",0.0383,0.212,0,0.0814,0.273,100.065,326907,"4",TRUE,48,"Pop 2","2HIwUmdxEl7SeWa1ndH5wC","8: Anthem Songs"
"Charli XCX","Used to Know Me",593,"Charli%20XCX%20Used%20to%20Know%20Me%20%20","5dry5tz8yLcLuOJ3l6ZEQd","25uiPmTg16RbhZWAqwLBy5",0.711,0.931,"1",-4.042,"1",0.0323,0.0914,0.0000441,0.0892,0.775,118.009,145840,"4",FALSE,64,"CRASH (Deluxe)","3lb7EyEcWhZOK0SpZ2dNpn","7: Dance Songs"
"Charlie Puth","How Long",68,"Charlie%20Puth%20How%20Long%20%20","6wmAHw1szh5RCKSRjiXhPe","6VuMaDnrHyPL1p4EHjYLi7",0.845,0.561,"1",-5.253,"0",0.0778,0.211,0.00000349,0.0383,0.811,109.974,200853,"4",FALSE,75,"Voicenotes","0mZIUXje90JtHxPNzWsJNR","7: Dance Songs"
"Cheat Codes","Do It All Over (feat. Marc E. Bassy)",71,"Cheat%20Codes%20Do%20It%20All%20Over%20(feat.%20Marc%20E.%20Bassy)%20%20","3Pm4fZwIDkykbdehoXqP9d","7DMveApC7UnC2NPfPvlHSU",0.672,0.582,"7",-5.631,"1",0.0392,0.0625,0,0.105,0.454,100.021,174164,"4",FALSE,52,"Do It All Over (feat. Marc E. Bassy)","4vKC1XAYYmIdvWfeyMct0t","8: Anthem Songs"
"Cheat Codes","F*ck Everyone But You",74,"Cheat%20Codes%20F*ck%20Everyone%20But%20You%20%20","4immnwOJ1DfLWM6Y78JUsU","7DMveApC7UnC2NPfPvlHSU",0.688,0.811,"1",-3.914,"1",0.0292,0.024,0.000518,0.0808,0.815,130.017,162032,"4",TRUE,33,"HELLRAISERS, Part 2","0diNd1xPp5eiaugv9HRpYb","7: Dance Songs"
"Cheat Codes","Ghost Story (with All Time Low)",68,"Cheat%20Codes%20Ghost%20Story%20(with%20All%20Time%20Low)%20%20","2zgYAaDIic9iTLujB3FARq","7DMveApC7UnC2NPfPvlHSU",0.372,0.881,"10",-5.068,"0",0.314,0.019,0,0.296,0.474,120.137,167966,"3",FALSE,52,"HELLRAISERS, Part 2","0diNd1xPp5eiaugv9HRpYb","3: ""Speak"" Pop"
"Cheat Codes","On My Life",72,"Cheat%20Codes%20On%20My%20Life%20%20","6nnntyJFxLzaCmNnhHe3C1","7DMveApC7UnC2NPfPvlHSU",0.699,0.645,"9",-5.307,"1",0.078,0.413,0,0.355,0.676,104.939,179340,"4",TRUE,49,"On My Life","242iBDjn57roEbUdUmgKPV","5: Live Songs"
"Cheat Codes","Queen Elizabeth",11,"Cheat%20Codes%20Queen%20Elizabeth%20%20","7AsRAjp13OTva5JdDWCBn1","7DMveApC7UnC2NPfPvlHSU",0.551,0.706,"7",-5.249,"1",0.0406,0.0249,0,0.0884,0.4,99.413,199393,"4",FALSE,38,"Queen Elizabeth","7kRw0TxAZI5Rwt3ZabFmwY","8: Anthem Songs"
"Cheat Codes","Sex",220,"Cheat%20Codes%20Sex%20%20","4CGGIk81BvfCZiscwFP6t0","7DMveApC7UnC2NPfPvlHSU",0.51,0.692,"0",-5.825,"1",0.171,0.00451,0,0.138,0.209,102.42,228361,"4",TRUE,61,"Sex","10DpegJFVLDxbKyNUqeCrG","3: ""Speak"" Pop"
"Cheat Codes","Washed Up",23,"Cheat%20Codes%20Washed%20Up%20%20","2A9h3EvZynC0jeiLNcnoWB","7DMveApC7UnC2NPfPvlHSU",0.642,0.831,"6",-4.568,"0",0.104,0.177,0,0.0967,0.251,99.144,174917,"4",FALSE,41,"Washed Up","4tXM9qnemrsLaAjmrUMA3o","8: Anthem Songs"
"Cher","Believe",40,"Cher%20Believe%20%20","2goLsvvODILDzeeiT4dAoR","72OaDtakiy6yFqkt4TsiFt",0.652,0.917,"6",-6.72,"1",0.0548,0.0082,0,0.0509,0.459,132.975,239027,"4",FALSE,79,"Believe","0jZfbz0dNfDjPSg0hYJNth","8: Anthem Songs"
"Cher","If I Could Turn Back Time",271,"Cher%20If%20I%20Could%20Turn%20Back%20Time%20%20","6mYrhCAGWzTdF8QnKuchXM","72OaDtakiy6yFqkt4TsiFt",0.658,0.575,"11",-10.365,"1",0.0267,0.243,0,0.122,0.504,108.329,239827,"4",FALSE,73,"Heart Of Stone","3srdrIrP3V7LTmRujRfLhK","4: Sad Bops"
"Cher Lloyd","Human",12,"Cher%20Lloyd%20Human%20%20","3zr5liODTQ9fdtrDOPatiS","4m4SfDVbF5wxrwEjDKgi4k",0.498,0.941,"6",-4.589,"1",0.188,0.082,0,0.278,0.444,153.859,209227,"4",FALSE,39,"Sorry I'm Late","7tG9wuLLbhOx38KY9JBTU7","3: ""Speak"" Pop"
"Cher Lloyd","Sirens",6,"Cher%20Lloyd%20Sirens%20%20","2wg4TZ4WENyLGhOoQncz6r","4m4SfDVbF5wxrwEjDKgi4k",0.682,0.802,"8",-2.803,"1",0.0422,0.065,0,0.107,0.411,116.972,235093,"4",FALSE,48,"Sorry I'm Late","7tG9wuLLbhOx38KY9JBTU7","8: Anthem Songs"
"Cher Lloyd","Want U Back",15,"Cher%20Lloyd%20Want%20U%20Back%20%20","6E11E0lT5Zy7yb6iT3y8DN","4m4SfDVbF5wxrwEjDKgi4k",0.694,0.891,"9",-2.94,"1",0.0949,0.0562,0,0.561,0.563,97.939,214573,"4",FALSE,65,"Sticks & Stones","16liSbjaxbH0oamsQlqJ4Z","5: Live Songs"
"Christina Aguilera","Ain't No Other Man",14,"Christina%20Aguilera%20Aint%20No%20Other%20Man%20%20","7huo2wvrCgRucUsjdSDLQV","1l7ZsJRRS8wlW3WfJfPfNS",0.862,0.742,"7",-4.722,"1",0.222,0.00376,0.00855,0.103,0.511,127.91,228907,"4",FALSE,66,"Back To Basics","0zRJsgzHZUUdk8Rjk6Segd","3: ""Speak"" Pop"
"Christina Aguilera","Beautiful",35,"Christina%20Aguilera%20Beautiful%20%20","3TCauNPqFiniaYHBvEVoHG","1l7ZsJRRS8wlW3WfJfPfNS",0.456,0.573,"5",-3.866,"0",0.0275,0.578,0.00000305,0.114,0.0992,76.19,238560,"4",FALSE,71,"Stripped","2USigX9DhGuAini71XZEEK","4: Sad Bops"
"Christina Aguilera","Change",9,"Christina%20Aguilera%20Change%20%20","7xYy4fuiPfFEAsjz3H93Sl","1l7ZsJRRS8wlW3WfJfPfNS",0.621,0.539,"6",-5.603,"1",0.0788,0.675,0.0000125,0.125,0.202,81.967,186840,"1",FALSE,45,"Change","0m8VAwx05KPWcxo0B3g2W7","4: Sad Bops"
"Christina Aguilera","Come On Over Baby (All I Want Is You) - Radio Version",71,"Christina%20Aguilera%20Come%20On%20Over%20Baby%20(All%20I%20Want%20Is%20You)%20-%20Radio%20Version%20%20","7A0apkTSTvMbSI7yplcmlh","1l7ZsJRRS8wlW3WfJfPfNS",0.829,0.915,"8",-3.205,"1",0.106,0.226,0.0000125,0.246,0.779,118.903,203333,"4",FALSE,67,"Christina Aguilera (Expanded Edition)","6fpPZS13ImRVpr7Tqs6yP9","7: Dance Songs"
"Christina Aguilera","Dirrty",24,"Christina%20Aguilera%20Dirrty%20%20","59ZTxQo8rBycIXPLUIKvE2","1l7ZsJRRS8wlW3WfJfPfNS",0.64,0.889,"2",-3.073,"1",0.322,0.107,0,0.339,0.436,99.931,298853,"4",FALSE,70,"Stripped","2USigX9DhGuAini71XZEEK","3: ""Speak"" Pop"
"Christina Aguilera","Fighter",95,"Christina%20Aguilera%20Fighter%20%20","7nXq1vaZiz7PdbfojpPjW5","1l7ZsJRRS8wlW3WfJfPfNS",0.435,0.92,"4",-1.357,"0",0.201,0.235,0.000353,0.552,0.45,188.899,245960,"4",FALSE,69,"Stripped","2USigX9DhGuAini71XZEEK","3: ""Speak"" Pop"
"Christina Aguilera","Genie in a Bottle",85,"Christina%20Aguilera%20Genie%20in%20a%20Bottle%20%20","11mwFrKvLXCbcVGNxffGyP","1l7ZsJRRS8wlW3WfJfPfNS",0.633,0.8,"1",-6.945,"1",0.166,0.209,0.000123,0.137,0.913,175.716,217573,"4",FALSE,75,"Christina Aguilera (Expanded Edition)","6fpPZS13ImRVpr7Tqs6yP9","3: ""Speak"" Pop"
"Christina Aguilera","Have Yourself a Merry Little Christmas",14,"Christina%20Aguilera%20Have%20Yourself%20a%20Merry%20Little%20Christmas%20%20","0iV9yfj1knFNOSEiuTHZwl","1l7ZsJRRS8wlW3WfJfPfNS",0.244,0.274,"8",-10.433,"1",0.04,0.871,0.0000118,0.0897,0.164,68.534,243133,"4",FALSE,37,"My Kind Of Christmas","0EmIJRj74RImuDbGJh4iOu","2. ""The Feels"""
"Christina Aguilera","Hurt",22,"Christina%20Aguilera%20Hurt%20%20","6gDXbcILAyBa2skSdbUYq7","1l7ZsJRRS8wlW3WfJfPfNS",0.327,0.295,"4",-6.907,"0",0.0313,0.775,0,0.107,0.143,148.574,243373,"4",FALSE,66,"Back To Basics","0zRJsgzHZUUdk8Rjk6Segd","4: Sad Bops"
"Christina Aguilera","I Turn to You",9,"Christina%20Aguilera%20I%20Turn%20to%20You%20%20","4Do68W4FWO2hRAJCzG1lus","1l7ZsJRRS8wlW3WfJfPfNS",0.599,0.47,"1",-8.356,"1",0.0376,0.38,0,0.111,0.298,127.177,273707,"4",FALSE,63,"Christina Aguilera (Expanded Edition)","6fpPZS13ImRVpr7Tqs6yP9","4: Sad Bops"
"Christina Aguilera","Keeps Gettin' Better",16,"Christina%20Aguilera%20Keeps%20Gettin%20Better%20%20","0j0n5CUS1g3QSwDWg8r5qq","1l7ZsJRRS8wlW3WfJfPfNS",0.645,0.697,"5",-4.733,"0",0.0285,0.0739,0.000842,0.575,0.25,130.001,181947,"4",FALSE,42,"Keeps Gettin' Better: A Decade of Hits","2019iQx5MmA6byqYqdK7zS","5: Live Songs"
"Christina Aguilera","Lady Marmalade - From Moulin Rouge Soundtrack",34,"Christina%20Aguilera%20Lady%20Marmalade%20-%20From%20Moulin%20Rouge%20Soundtrack%20%20","7GQqj9jRtDkMp8zByehXQI","1l7ZsJRRS8wlW3WfJfPfNS",0.756,0.808,"5",-3.655,"1",0.0541,0.0175,0.00000367,0.66,0.638,109.902,264847,"4",FALSE,60,"Moulin Rouge","1Kg7AyuyIMTfD6geg9VghI","5: Live Songs"
"Christina Aguilera","Let There Be Love",10,"Christina%20Aguilera%20Let%20There%20Be%20Love%20%20","5u5wvBQcUTzRzN7dwkrFUB","1l7ZsJRRS8wlW3WfJfPfNS",0.543,0.899,"7",-1.589,"0",0.16,0.0219,0.0000488,0.259,0.441,127.991,201547,"4",FALSE,44,"Lotus (Deluxe Version)","56vCgdP2fIuKtvMu6MBL2Q","3: ""Speak"" Pop"
"Christina Aguilera","Love Will Find a Way",15,"Christina%20Aguilera%20Love%20Will%20Find%20a%20Way%20%20","6WmC9MTBIjcURstXRjF56n","1l7ZsJRRS8wlW3WfJfPfNS",0.745,0.812,"7",-5.583,"0",0.0415,0.0374,0,0.563,0.783,104.934,235667,"4",FALSE,36,"Christina Aguilera (Expanded Edition)","6fpPZS13ImRVpr7Tqs6yP9","5: Live Songs"
"Christina Aguilera","Not Myself Tonight",6,"Christina%20Aguilera%20Not%20Myself%20Tonight%20%20","29CFPJaBW3ZfVeCI8EDnQa","1l7ZsJRRS8wlW3WfJfPfNS",0.757,0.812,"7",-5.178,"1",0.0395,0.00137,0.018,0.563,0.542,120.015,186493,"4",TRUE,54,"Bionic (Deluxe Version)","1HfdmIok11uUjysVWdxq6H","5: Live Songs"
"Christina Aguilera","Reflection",40,"Christina%20Aguilera%20Reflection%20%20","5Y1id2NTv2M7x2g2V2q1Sz","1l7ZsJRRS8wlW3WfJfPfNS",0.314,0.631,"7",-8.167,"1",0.0756,0.46,0,0.0811,0.224,96.301,217997,"4",FALSE,61,"Mulan (Original Motion Picture Soundtrack)","1hOU3shHZwl08nsq1LDAJP","4: Sad Bops"
"Christina Aguilera","The Voice Within",15,"Christina%20Aguilera%20The%20Voice%20Within%20%20","42JgHvkBiAc5ivo0gvVRvQ","1l7ZsJRRS8wlW3WfJfPfNS",0.484,0.439,"2",-5.995,"1",0.0336,0.556,0,0.251,0.157,69.945,304013,"4",FALSE,57,"Stripped","2USigX9DhGuAini71XZEEK","4: Sad Bops"
"Christina Aguilera","This Christmas",41,"Christina%20Aguilera%20This%20Christmas%20%20","32h59T8q2SonUPJ006lyXt","1l7ZsJRRS8wlW3WfJfPfNS",0.575,0.744,"1",-5.466,"1",0.0603,0.0687,0,0.0723,0.701,183.79,241507,"4",FALSE,37,"My Kind Of Christmas","0EmIJRj74RImuDbGJh4iOu","6: Energy Pop"
"Christina Aguilera","What a Girl Wants",21,"Christina%20Aguilera%20What%20a%20Girl%20Wants%20%20","5bGmuxShUba9maPswDnhCs","1l7ZsJRRS8wlW3WfJfPfNS",0.754,0.819,"0",-6.833,"1",0.112,0.0684,0,0.345,0.818,142.137,215800,"4",FALSE,65,"Christina Aguilera (Expanded Edition)","6fpPZS13ImRVpr7Tqs6yP9","7: Dance Songs"
"Christina Aguilera","Your Body",71,"Christina%20Aguilera%20Your%20Body%20%20","2pmtavvgqZN52EePYxutgk","1l7ZsJRRS8wlW3WfJfPfNS",0.593,0.781,"8",-5.291,"0",0.0545,0.000724,0,0.225,0.565,103.025,239853,"4",FALSE,58,"Lotus (Deluxe Version)","56vCgdP2fIuKtvMu6MBL2Q","8: Anthem Songs"
