"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"Gloria Gaynor","6V6WCgi7waF55bJmylC4H5","disco,soft rock",916663,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Great Good Fine OK","422RLznpwUa5FsQgnTlgUH","hopebeat,indie poptimism,metropopolis,neo-synthpop,nyc pop",125854,48,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Green Day","7oPftvlwr6VrsViSDV7fJY","modern rock,permanent wave,punk,rock",14035202,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","edm,pop dance,tropical house",924794,70,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"GSPR","1899F4ojFEHeMOWyXhnPje","pop edm",3669,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Gwen Stefani","4yiQZ8tQPux8cPriYMWUFP","dance pop,pop",6009233,72,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hailee Steinfeld","5p7f24Rk5HkUZsaS3BLG5F","pop",8640797,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Haley Reinhart","5cKlE8f6b26h61Ml7m052Q","idol",311215,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hallman","6lQbKezHkug0aJSkAjYYO5","beach house,swedish tropical house",21583,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanna Ferm","2xQUbkvQFCU8DpdBFbMfLq","swedish idol pop,swedish pop",40304,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"Hannah Montana","7nU4hB040gTmHm45YYMvqc","pop,post-teen pop",4443527,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hardwell","6BrvowZBreEkXzJQMpL174","big room,dutch house,edm,electro house,pop dance,progressive electro house,progressive house",3699208,68,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Havana Brown","1EVWYRr2obCRDoSoD6KSuM","australian dance,australian pop",195435,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hawk Nelson","4hj6ZZxaiKvG5GU3PYf7Gh","canadian ccm,ccm,christian alternative rock,christian music,christian punk",209257,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hayley Kiyoko","3LjhVl7GzYsza1biQjTpaN","alt z,indie poptimism,pop",1644088,60,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Heart","34jw2BbxjoYalTp8cJFCPv","album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,new wave pop,rock,singer-songwriter,soft rock",2287509,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Heart Of Gold","4hqo1pdNrZHfPmSmTtMvUZ","hopebeat,modern alternative pop",5846,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hilary Duff","2S9W9aSAd7e5mp8WqWxN2h","dance pop,pop,post-teen pop",2274519,56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Hillsong United","74cb3MG0x0BOnYNW1uXYnM","ccm,christian music,world worship,worship",3733887,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hillsong Worship","3SgHzT552wy2W8pNLaLk24","ccm,christian music,world worship,worship",4869499,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Apache","2zKbqRqx22axcZA2mUw71Y","hopebeat",21838,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howie Day","0ekbDNE2eOq8QiaXM34wer","acoustic pop,neo mellow,pop rock",323338,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HRVY","28y6CyJNkGNjJQKrlx4AmN","pop",1662661,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Huey Lewis & The News","7A9yZMTrFZcgEWAX2kBfK6","album rock,classic rock,hard rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",1451211,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Hyper Potions","1KkjjsBwGqU2YjS9OIucZV","kawaii future bass,speedrun,vgm remix",123049,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Idina Menzel","73Np75Wv2tju61Eo9Zw4IR","broadway,hollywood,movie tunes,show tunes",420767,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iggy Azalea","5yG7ZAZafVaAlMTeBybKAL","australian hip hop,dance pop,pop",6365233,69,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Illenium","45eNHdiiabvmbp4erw26rg","edm,melodic dubstep,pop dance",1393947,75,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","modern rock,pop,rock",47882367,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Ingrid Michaelson","2vm8GdHyrJh2O2MfbQFYG0","acoustic pop,ectofolk,lilith,neo mellow",796624,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Inna","2w9zwq3AktTeYYMuhMjju8","dance pop,romanian house,romanian pop",1233487,69,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Irene Cara","3oZa8Xs6IjlIUGLAhVyK4G","disco,new romantic,new wave pop,soft rock,synthpop",376806,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"James Arthur","4IWBUUAFIplrNtaOHcJPRM","pop,talent show,uk pop",11822441,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"James Blunt","7KMqksf0UMdyA0UCf4R3ux","neo mellow",2795661,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"James Newton Howard","2M4eNCvV3CJUswavkhAQg2","orchestral soundtrack,soundtrack",311880,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Aldean","3FfvYsEGaIb52QPXhg4DcH","contemporary country,country,country road,modern country rock",6053981,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jason Weaver","1W90Na0WyqYkbQkKiBvrPV","show tunes",470,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jay Cosmic","0p7L2MImTqtWEAlMN9qHYx","sky room",13104,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jennifer Lopez","2DlGxzQSjYe5N6G9nkYghR","dance pop,pop,urban contemporary",12355179,75,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jermaine Stewart","7FAkzV0YOw0EIXFhmY4RE3","",22190,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jess Glynne","4ScCswdRlyA23odg9thgIO","pop,uk pop",2964573,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Jessica Mauboy","6rHWAH6F4mr2AViSxMV673","australian indigenous,australian pop,australian talent show",266377,50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jessica Sanchez","3xBbmWwDPhEaGcwWgBarkI","dance pop,idol",34956,37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jessica Simpson","2tFN9ubMXEhdAQvdQxcsma","dance pop,post-teen pop",1223187,49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jessie J","2gsggkzM5R49q6jpPvazou","dance pop,pop",11214080,71,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jesus Culture","0Onvkz1Nbs4wHXXUwOIGk8","ccm,christian music,world worship,worship",1277044,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jim Yosef","40HDiLfKm0tXk2FxlJx6aO","gaming edm",136877,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jimmy Buffett","28AyklUmMECPwdfo8NEsV0","",780334,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jimmy Durante","5FNHfTn3yzVpqdUyWwej0v","adult standards,lounge",104008,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jimmy Eat World","3Ayl7mCk0nScecqOzvNp6s","alternative metal,alternative rock,emo,modern power pop,modern rock,neon pop punk,pop punk,pop rock,post-grunge,punk,rock",1413297,68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Joan","3HXLY1sNXIxHfulrjPiRf5","hopebeat,indietronica,little rock indie",175769,52,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Joan Jett","1Fmb52lZ6Jv7FMWXXTPO3K","glam punk,rock",690636,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Joan Osborne","0djV4iaxhNfYWpH60ia85o","ectofolk,lilith,new wave pop,pop rock,singer-songwriter",183820,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Jodi Benson","4mmMtabvFCKA6HfmVmitNH","movie tunes",37235,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Joel Corry","6DgP9otnZw5z6daOntINxp","dance pop,pop dance,tropical house,uk dance",347156,75,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"Joel Hirsch","2W4DPKqP9mPclu4MpCjf3h","",1984,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John De Sohn","3TVjdmhfFoYJLgBEkkZTBm","pop dance,swedish tropical house",108547,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Denver","7EK1bQADBoqbYXnT4Cqv9w","classic country pop,folk,folk rock,mellow gold,singer-songwriter,soft rock",1859355,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"John Lennon","4x1nvY2FN8jxqAFA0DA02H","beatlesque,classic rock,rock",5454702,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"John Martin","2auikkNYqigWStoHWK1Grq","pop edm",43566,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"John Mellencamp","3lPQ2Fk5JOwGWAF3ORFCqH","album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",1538294,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"John Parr","3Z1tibPKhUYWCno0IYicCN","new wave pop",90349,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnny Mathis","21LGsW7bziR4Ledx7WZ1Wf","adult standards,easy listening",377719,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JoJo","5xuNBZoM7z1Vv8IQ6uM0p6","dance pop,pop,post-teen pop",2307894,62,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jonas Brothers","7gOdHgIoIKoe4i9Tta6qdD","boy band,pop",6980553,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jordin Sparks","2AQjGvtT0pFYfxR3neFcvz","dance pop,pop,post-teen pop",2318377,63,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jordy","0p9SPN0Vhv6aDRZCz4W13E","alt z,gen z singer-songwriter",121440,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jose Feliciano","7K78lVZ8XzkjfRSI7570FF","latin pop,puerto rican pop",342595,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Joseph Williams","5xk0kRuXn1zToTHpHAqpui","movie tunes",14898,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Josh Groban","6cXMpsP9x0SH4kFfMyVezF","operatic pop",869736,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Journey","0rvjqX7ttXeg3mTy8Xscbt","album rock,classic rock,hard rock,heartland rock,mellow gold,rock,soft rock",4984254,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Judah & the Lion","00FQb4jTyendYWaN8pK0wa","art pop,pop",23887298,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Judy Collins","5yzE49FicYiSxN61oaxkNn","american folk revival,folk,folk rock,mellow gold,singer-songwriter",234067,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Judy Kuhn","7tHd518aPjJYUgyv9bidBz","movie tunes",29281,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Julie Bergan","2Tg0aF5cbZktYFzgR1iAKv","norwegian pop",158778,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Junior Doctor","6B4CA2EzAtLlTBKvpsZ4gO","alternative pop rock,neon pop punk",7152,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Justin Jesso","1QDrz3DMMaz3TB1cm0PGDu","",51830,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Justin Timberlake","31TPClRtHm23RisEBtV3X7","dance pop,pop",12916227,80,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kaarija","6LkMGN0t3HDNL8hIvma70r","",95266,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kaci Battaglia","7HCPm8AkZIqGjQdAJR2ltC","deep dance pop",37405,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kanye West","5K4W6rqBFWDnAN6FQUkS6x","chicago rap,hip hop,rap",20128599,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kari Jobe","5XlSS9O4eHRiJ0hKzbaFQ2","ccm,christian alternative rock,christian music,worship",1125336,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Karmin","4M0DLz8te9Q1lNIXBBwvfG","post-teen pop,viral pop",557161,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Katrina & The Waves","2TzHIUhVpeeDxyJPpQfnV3","new wave pop",81670,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katy Perry","6jJ0s89eD6GaHleKKya26X","pop",27085397,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"KC & The Sunshine Band","3mQBpAOMWYqAZyxtyeo4Lo","disco,mellow gold,new wave pop,soft rock,soul",897877,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Keith Urban","0u2FHSq3ln94y5Q57xazwf","australian country,australian pop,contemporary country,country,country road",5124343,71,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","dance pop,pop,talent show",9775463,74,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Kenny G","6I3M904Y9IwgDjrQ9pANiB","smooth jazz,smooth saxophone",975334,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kenny Loggins","3Y3xIwWyq5wnNHPp5gPjOW","album rock,classic rock,heartland rock,mellow gold,new wave pop,singer-songwriter,soft rock,yacht rock",966782,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Kesha","6LqNN22kT3074XbTVUrhzX","dance pop,pop",7568467,77,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kiesza","4zxvC7CRGvggq9EWXOpwAo","electropop,pop edm",291851,55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Kiiara","4u5smJBskI6Adzv08PuiUP","alt z,electropop",905408,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kim Petras","3Xt3RrJMFv5SZkCfUE8C1J","alt z,pop,transpop",921660,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Kim Wilde","73a6pNH4YtLNgDbPQwXveo","new romantic,new wave,new wave pop",592343,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kool & The Gang","4LLpKhyESsyAXpc4laK94U","hip hop,pittsburgh rap,rap",9000328,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Krewella","0Cd6nHYwecCNM1sVEXKlYr","edm,electra,electro house,pop dance",929960,56,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Kristen Anderson-Lopez","3CneYb5exy4KOtvCCrozDD","movie tunes",12692,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristene DiMarco","26T4yOaOoFJvUvxR87Y9HO","ambient worship,ccm,deep ccm,world worship,worship",1562423,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kristin Chenoweth","7daPb40K64rRtF36wd3ZOk","broadway,show tunes",11552,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kygo","23fqKkggKUBHNkbKtXEls4","edm,pop,pop dance,tropical house",8359403,80,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"Kylie Minogue","4RVnAU35WRWra6OZ3CbbMA","australian dance,australian pop,dance pop,eurodance,new wave pop",1682055,70,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"La Roux","3K2zB87GZv1krx031en5VA","alternative dance,electropop,neo-synthpop",640836,63,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Labrinth","2feDdbD5araYcm6JhFHHw7","indie poptimism,pop",2892062,82,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lady Gaga","1HY2Jd0NmPuamShAr6KMms","art pop,dance pop,pop",26519126,85,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Laidback Luke","53cQZtWDwDJwVCNZlfJ6Qk","big room,dutch edm,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house",393219,59,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","art pop,pop",23887298,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Laura Branigan","4463nfFMmK1cwAWBQDwT5e","new romantic,new wave pop,soft rock,synthpop",635485,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Lauren Daigle","40LHVA5BTQp9RxHOQ9JPYj","ccm,christian alternative rock,christian music",2405622,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Lauv","5JZ7CnR6gTvEMKX4g70Amv","pop",5742699,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lea Salonga","1GlMjIezcLwV3OFlX0uXOv","movie tunes,tagalog worship",172021,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leadley","4rm1Xr4IKrLxOOoG4Zt4EL","uk pop",13012,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lee Ann Womack","738OS3zrCO782uDiUN9pet","contemporary country,country,country dawn,country road",707445,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lee Greenwood","3g229vTyhsdwm9SO2p1FPL","classic country pop",51943,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leona Lewis","5lKZWd6HiSCLfnDGrq9RAm","british soul,dance pop,pop,talent show",3505849,65,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Leroy Anderson","5YhX2onn51M81v4dSZajlX","american modern classical,easy listening,space age pop",10511,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lewis Capaldi","4GNC7GD6oZMSxPGyXy4MNB","pop,uk pop",11074382,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Lewis Thompson","26OmQHradZrF0CS7DrgWDH","",3194,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lights","5pdyjBIaY5o1yOyexGIUc6","canadian folk,canadian pop,electropop",298768,57,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lily Allen","13saZpZnCDWOI9D4IJhp1f","dance pop,electropop",1986258,67,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Lindana","3zJoIfQDXEUCsyoV0bTj8G","",1242,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lionel Richie","3gMaNLQm7D9MornNILzdSl","soft rock",3106800,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Mix","3e7awlrlDSwF3iM0WBjGMp","girl group,pop,talent show,uk pop",11401029,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"Little Nell","213WFYdlgojElnXhDyhwke","novelty",2268,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lizzo","56oDRnqbIiwx4mymNEv7dS","escape room,minnesota hip hop,pop,trap queen",5569482,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LMFAO","3sgFRtyBnxXD5ESfmbK4dl","dance pop,pop,pop rap",4210190,67,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Loote","00TKPo9MxwZ0j4ooveIxWZ","alt z,nyc pop",211191,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lope & Kantola","2gy6mlx7uNGaZSsohHQhKX","finnish edm",923,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","indie folk,modern rock,stomp and holler",1234981,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Loreen","49aaHxvAJ0tCh0F15OnwIl","europop,swedish pop",881862,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Los Del Rio","2JXn03fudjyRkQ1Ye9f5rk","tropical",47604,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Los Lobos","6OWapcJm9xd55ci9CYbAuT","roots rock",142346,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lost Kings","3hyEbRtp617pNCuuQjyOmc","pop dance,pop edm,tropical house",392637,56,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
"Lou Bega","46lnlnlU0dXTDpoAUmH6Qx","latin pop",101621,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lou Monte","7dbKeVkihtOifdiu7f3rUg","novelty",9547,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,soul,swing,vocal jazz",2672072,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loverboy","2CLVPk9FcywjClBcTvWPkT","album rock,classic canadian rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,soft rock",815548,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Loving Caliber","6psCCMHymYfQy6VvYRr6cs","scandipop",124006,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lucas & Steve","7dGJo4pcD2V6oG8kP0tJRR","detroit hip hop,hip hop,rap",70968198,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luke Sexton","6IlsoQXrTJgRwEjndYb8Ek","",350,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Machine Gun Kelly","6TIYQ3jFPwQSRmorSezPxX","ohio hip hop,pop rap",5068714,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
