"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"Coy","5tbKiV0G6Xx529nPcTapgF","",611,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutting Crew","3cniTumSiUysiPWXapGx1i","album rock,new romantic,new wave,new wave pop,soft rock,synthpop",372990,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"CXLOE","6M25WWmNO7wK1DnKmd3z6R","alt z,australian alternative pop,australian electropop",51661,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cyndi Lauper","2BTZIqw0ntH9MvilQ3ewNY","dance pop,new wave pop,permanent wave,soft rock",2319331,70,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dagny","6Paz0vXJJ9bCPf0fEm3qzg","norwegian pop",160802,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dami Im","2wSrZOe6YVo6XoKma22sdY","australian pop,australian talent show,talent show",57654,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Dani Sylvia","4loap7SYpi11OpsZKnynZj","uk pop",8288,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Daniel Powter","7xTcuBOIAAIGDOSvwYFPzk","canadian pop,neo mellow,pop rock",251529,59,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Danny Gokey","5Yu3b48Y29bZlI1cLPOZJz","ccm,christian alternative rock,christian music,idol",343033,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Danny L Harle","1PNvaesh1mkKZucGhBuqgD","escape room,hyperpop,proto-hyperpop",61193,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Daughtry","5P5FTygHyx2G57oszR3Wot","alternative metal,neo mellow,pop rock,post-grunge",2024241,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"David Archuleta","2C9n4tQgNLhHPhSCmdsQnk","idol,lds youth,post-teen pop,viral pop",525724,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"David Foster","0SgQK24WzZf2pXBXYqHJYF","",84408,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Guetta","1Cs0zKBU1kc0i8ypK3B9ai","big room,dance pop,edm,pop,pop dance",26031090,89,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Daya","6Dd3NScHWwnW6obMFbl1BH","pop",1483733,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dead or Alive","5WWSL6rElJeUk3Uc1S2RyD","hi-nrg,new romantic,new wave,new wave pop,synthpop",353131,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Def Leppard","6H1RjVyNruCmrBEWRbD0VZ","album rock,classic rock,glam metal,hard rock,nwobhm,rock",4403348,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Delta Goodrem","2g6fa86fL6oLcoDqanBbuR","australian pop,australian talent show",235793,49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Demi Lovato","6S2OmqARrzebs0tKUEyXyp","pop,post-teen pop",24975797,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Destiny's Child","1Y8cdNmUJH7yBTd9yOvr5i","dance pop,girl group,pop,r&b,urban contemporary",6398863,71,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dev","7Ip2u3e5Nv6fFb5xyIHxEE","",266494,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dexys Midnight Runners","4QTVePrFu1xuGM9K0kNXkk","new romantic,new wave,new wave pop,synthpop",220457,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DHT","7lVtH5UmhLGyfN9iS2FFk7","",13477,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diana Ross","3MdG05syQeRYPPcClLaUGl","adult standards,disco,motown,quiet storm,soft rock,soul",1593396,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dimitri Vangelis & Wyman","6lB8vOoI4DRrrVxXwuV19c","pop dance,swedish tropical house,tropical house",1501548,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"Disco Fries","7G7KvDCLdVG0Ok511Iqc9U","pop edm",29629,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DJ Cassidy","1xLOb1CC0N70wA28T7Q5uE","",19268,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJ D-Sol","3fzRb5i8Wn7ao2KPDxEiTR","",23326,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJ Khaled","0QHgL1lAIqAw0HtD7YldmP","hip hop,miami hip hop,pop rap,rap",9749953,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DJ Sammy","4z4m1P0iX2nRSPDBEZ8LBT","eurodance",83163,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNCE","6T5tfhQCknKG4UnH90qGnz","dance pop,pop",4489111,69,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dolly Parton","32vWCbZh0xZ4o9gkz4PsEU","classic country pop,country,country dawn",2138053,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Don Diablo","1l2ekx5skC4gJH8djERwh1","dutch house,edm,electro house,future house,pop dance,progressive electro house,progressive house,tropical house",1817131,67,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"Donna Summer","2eogQKWWoohI3BSnoG7E2U","adult standards,disco,hi-nrg,new wave pop,soft rock",1748950,64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Donny Osmond","5ZEAzHE2TzAwUcOj6jMIgf","bubblegum pop,movie tunes",95791,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"dreamfone","00BCWGiYaxkXLJOp3zakyc","",6375,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dreamr.","3FpTHH0pkdBxBdGvbVUo6f","",6903,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DRYM","0kDuIuxZhlgE9XYRy6NVSq","progressive trance,trance,uplifting trance",16030,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dua Lipa","6M2wZ9GZgrQXHCFfjv46we","dance pop,pop,uk pop",39884392,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Duran Duran","0lZoBs4Pzo7R89JM9lxwoT","album rock,classic rock,dance rock,new romantic,new wave,new wave pop,rock,soft rock,synthpop",2614308,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Earth Wind & Fire","4QQgXkCYTt3BlENzhyNETg","disco,funk,jazz funk,soul",3890516,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ed Sheeran","6eUKZXaKkcviH0Ku9w2n3V","pop,uk pop",112197063,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Eddie Money","4Tw2N3wdvJPGEU7JqMxFfE","album rock,classic rock,country rock,glam metal,hard rock,mellow gold,soft rock,southern rock",811037,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Edward Maya","6XwwFnewNgWp81MYMK8zLq","romanian house,romanian pop",217041,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ella Eyre","66TrUkUZ3RM29dqeDQRgyA","dance pop,talent show,uk dance,uk pop",830275,68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
