"Artist","Track","cluster","total_track_streams"
"Marina","Blue","7: Dance Songs",65
"Marshmello","Be Kind (with Halsey)","8: Anthem Songs",65
"Miley Cyrus","Wrecking Ball","4: Sad Bops",65
"Randy Crenshaw","Perry the Platypus Theme","3: ""Speak"" Pop",65
"Swedish House Mafia","Don't You Worry Child - Radio Edit","8: Anthem Songs",65
"Taylor Swift","Mean","6: Energy Pop",65
"The Chainsmokers","Something Just Like This","8: Anthem Songs",65
"Thurl Ravenscroft","You're A Mean One Mr. Grinch","2: ""The Feels""",65
"Gryffin","OMG (with Carly Rae Jepsen) - Josh Le Tissier Remix","8: Anthem Songs",64
"Marina","Froot","7: Dance Songs",64
"Walk the Moon","One Foot","5: Live Songs",64
"Cascada","Blink (Radio Edit)","8: Anthem Songs",63
"Christina Aguilera","Come On Over Baby (All I Want Is You) - Radio Version","7: Dance Songs",63
"Francesca Battistelli","He Knows My Name","8: Anthem Songs",63
"Katy Perry","Roar","5: Live Songs",63
"Loote","IDK Single","7: Dance Songs",63
"Selena Gomez","Only You","2: ""The Feels""",63
"Tim Halperin","Dance","7: Dance Songs",63
"Calvin Harris","This Is What You Came For","8: Anthem Songs",62
"Fickle Friends","Bite","7: Dance Songs",62
"Giorgio Moroder","Tom's Diner","8: Anthem Songs",62
"HRVY","Good Vibes","7: Dance Songs",62
"Hyper Potions","Time Trials","1: Instrumental Songs",62
"Kelly Clarkson","Couldn't Be Better - Pop Version","8: Anthem Songs",62
"Kelly Clarkson","Heat","3: ""Speak"" Pop",62
"Lana Del Rey","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit","8: Anthem Songs",62
"Miley Cyrus","The Climb","6: Energy Pop",62
"No Rome","Spinning (with Charli XCX & The 1975)","7: Dance Songs",62
"Rina Sawayama","Bad Friend","8: Anthem Songs",62
"Ryn Weaver","The Fool","5: Live Songs",62
"The Strike","Overtime","5: Live Songs",62
"Will Ferrell","Husavik (My Hometown)","4: Sad Bops",62
"Allie X","Prime","7: Dance Songs",61
"Avicii","Wake Me Up","8: Anthem Songs",61
"Benjamin Ingrosso","Only Your Heart","6: Energy Pop",61
"Gareth Emery","Reckless","8: Anthem Songs",61
"Marina","About Love","8: Anthem Songs",61
"Molly Sanden","Dag for dag","6: Energy Pop",61
"Belinda Carlisle","Mad About You","4: Sad Bops",60
"Chaka Khan","Ain't Nobody","7: Dance Songs",60
"Charli XCX","ILY2","8: Anthem Songs",60
"Lady Gaga","Born This Way","3: ""Speak"" Pop",60
"Brenda Lee","Rockin' Around the Christmas Tree","2: ""The Feels""",59
"Marina","Happy Loner","2: ""The Feels""",59
"Molly Sanden","Storre","8: Anthem Songs",59
"Auli'i Cravalho","How Far I'll Go","2: ""The Feels""",58
"Carly Rae Jepsen","Summer Love","7: Dance Songs",58
"Dagny","Somebody - Acoustic","2: ""The Feels""",58
"FM-84","Never Stop","6: Energy Pop",58
"Foxes","Let Go for Tonight","6: Energy Pop",58
"Kelly Clarkson","You Found Me","8: Anthem Songs",58
"Lady Gaga","Eh Eh (Nothing Else I Can Say)","6: Energy Pop",58
"Rachel Platten","Speechless","8: Anthem Songs",58
"The 1975","The Sound","5: Live Songs",58
"The Band CAMINO","Daphne Blue","5: Live Songs",58
"The Chainsmokers","This Feeling","8: Anthem Songs",58
"Ace of Base","The Sign","7: Dance Songs",57
"Alesso","When I'm Gone (with Katy Perry)","5: Live Songs",57
"Carly Rae Jepsen","Comeback","8: Anthem Songs",57
"Carly Rae Jepsen","More Than a Memory","7: Dance Songs",57
"Christina Aguilera","Your Body","8: Anthem Songs",57
"Lauv","Modern Loneliness","8: Anthem Songs",57
"Lucas & Steve","I Want It All","8: Anthem Songs",57
"Marina","Primadonna","8: Anthem Songs",57
"OneRepublic","Rich Love (with Seeb)","3: ""Speak"" Pop",57
"Percy Faith & His Orchestra & Chorus","We Need A Little Christmas","1: Instrumental Songs",57
"3LAU","Better With You","8: Anthem Songs",56
"Ava Max","Tattoo","7: Dance Songs",56
"Calvin Harris","I Need Your Love","7: Dance Songs",56
"Cardiknox","On My Way","8: Anthem Songs",56
"Francesca Battistelli","Holy Spirit","4: Sad Bops",56
"Martin Garrix","No Sleep (feat. Bonn) - DubVision Remix","8: Anthem Songs",56
"River Valley Worship","In Rhythm","5: Live Songs",56
"Strange Names","Neighborhood","7: Dance Songs",56
"Taylor Swift","ME! (feat. Brendon Urie of Panic! at the Disco)","6: Energy Pop",56
"Alice Chater","Hourglass","7: Dance Songs",55
"Ariana Grande","Zero to Hero - From Hercules","3: ""Speak"" Pop",55
"Christine and the Queens","Tilted","7: Dance Songs",55
"Josh Groban","Believe","4: Sad Bops",55
"Kelly Clarkson","My Grown Up Christmas List","4: Sad Bops",55
"Kelly Clarkson","The War Is Over","8: Anthem Songs",55
"Mako","Let Go Of The Wheel","6: Energy Pop",55
"NOTD","I Miss Myself (with HRVY)","3: ""Speak"" Pop",55
"Sia","Move Your Body","8: Anthem Songs",55
"Vavo","Right Now - GATTUSO Remix","7: Dance Songs",55
"Britney Spears","Till the World Ends","8: Anthem Songs",54
"Carly Rae Jepsen","Drive","7: Dance Songs",54
"Carly Rae Jepsen","Sweetie","7: Dance Songs",54
"Cheat Codes","Ghost Story (with All Time Low)","3: ""Speak"" Pop",54
"Dua Lipa","If It Ain't Me","7: Dance Songs",54
"Ellie Goulding","Goodness Gracious","8: Anthem Songs",54
"Ellie Goulding","Joy","2: ""The Feels""",54
"Seven Lions","Freesol","8: Anthem Songs",54
"Taylor Swift","Style","8: Anthem Songs",54
"Avicii","I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","5: Live Songs",53
"Avicii","Levels","1: Instrumental Songs",53
"Britt Nicole","Look Like Love","7: Dance Songs",53
"Dua Lipa","Hotter Than Hell","8: Anthem Songs",53
"Eddie Money","Take Me Home Tonight","7: Dance Songs",53
"Ellie Goulding","Sixteen","7: Dance Songs",53
"Jess Glynne","I'll Be There","8: Anthem Songs",53
"Marina","Savages","7: Dance Songs",53
"Mike Perry","Body to Body","8: Anthem Songs",53
"PRiZM","We Were Young","8: Anthem Songs",53
"David Guetta","Battle (feat. Faouzia)","6: Energy Pop",52
"Dua Lipa","Break My Heart","5: Live Songs",52
"Ellie Goulding","The Greatest","7: Dance Songs",52
"Kelly Clarkson","Oh Holy Night","2: ""The Feels""",52
"Lady Gaga","Free Woman - Rina Sawayama & Clarence Clarity Remix","3: ""Speak"" Pop",52
"Lauren Daigle","Rescue","2: ""The Feels""",52
"Lauv","i'm so tired...","3: ""Speak"" Pop",52
"Mannheim Steamroller","Hark! The Herald Angels Sing","8: Anthem Songs",52
"Armin van Buuren","Heading Up High","8: Anthem Songs",51
"Carly Rae Jepsen","Black Heart","7: Dance Songs",51
"Dagny","Come Over","6: Energy Pop",51
"Dua Lipa","That Kind of Woman","8: Anthem Songs",51
"Lady Gaga","Is That Alright?","2: ""The Feels""",51
"Little Mix","Hair","5: Live Songs",51
"Marina","Starring Role","6: Energy Pop",51
"Molly Sanden","Vi ska aldrig ga hem - Nause & Allertz Remix","8: Anthem Songs",51
"Selena Gomez & the Scene","Naturally","7: Dance Songs",51
"Aly & AJ","Joan of Arc on the Dance Floor","8: Anthem Songs",50
"Carly Rae Jepsen","Let's Sort the Whole Thing Out","6: Energy Pop",50
"Ellie Goulding","Power","7: Dance Songs",50
"Fly By Midnight","Everywhere","7: Dance Songs",50
"Gryffin","Tie Me Down (with Elley Duhé)","8: Anthem Songs",50
"Katy Perry","Birthday - Cash Cash Remix","7: Dance Songs",50
"Kelly Clarkson","Oh Come Oh Come Emmanuel","2: ""The Feels""",50
"Loote","Somebody Else","8: Anthem Songs",50
"Miley Cyrus","Malibu","8: Anthem Songs",50
"Miley Cyrus","Midnight Sky","8: Anthem Songs",50
"Nightly","on your sleeve","8: Anthem Songs",50
"Sigala","Easy Love","7: Dance Songs",50
"Tove Lo","Cool Girl","8: Anthem Songs",50
"Carly Rae Jepsen","Run Away With Me - Y2K Remix","8: Anthem Songs",49
"GATTUSO","When In Rome - Steve Brian Remix","8: Anthem Songs",49
"Jesus Culture","Forevermore - Live","5: Live Songs",49
"Karmin","Brokenhearted","7: Dance Songs",49
"Kim Petras","Do Me","8: Anthem Songs",49
"Miley Cyrus","Party in the U.S.A.","8: Anthem Songs",49
"NOTD","Cry Dancing","7: Dance Songs",49
"Simple Plan","I'd Do Anything","6: Energy Pop",49
"Thomas Hayes","Stay the Same","8: Anthem Songs",49
"Wynter Gordon","Dirty Talk","7: Dance Songs",49
"Agnes","Stranded","7: Dance Songs",48
"Ariana Grande","Dangerous Woman","8: Anthem Songs",48
"Armin van Buuren","Weight Of The World","8: Anthem Songs",48
"Bruce Springsteen","Dancing in the Dark","6: Energy Pop",48
"Carly Rae Jepsen","Boy Problems","7: Dance Songs",48
"David Guetta","Where Them Girls At (feat. Nicki Minaj & Flo Rida)","8: Anthem Songs",48
"Hailee Steinfeld","I Love You's","3: ""Speak"" Pop",48
"Kelly Clarkson","Let Me Down","6: Energy Pop",48
"Martin Garrix","High On Life (feat. Bonn)","4: Sad Bops",48
"Panic! at the Disco","High Hopes","7: Dance Songs",48
"Seeb","Run It Up","7: Dance Songs",48
"Aly & AJ","Chemicals React (Remix)","6: Energy Pop",47
"Armin van Buuren","I Need You (feat. Olaf Blackwood) - Club Mix","8: Anthem Songs",47
"Edward Maya","Stereo Love - Radio Edit","7: Dance Songs",47
"Ellie Goulding","On My Mind","7: Dance Songs",47
"Jess Glynne","Hold My Hand","8: Anthem Songs",47
"Jesus Culture","Sing Out - Live","5: Live Songs",47
"Justin Jesso","Bigger Than","5: Live Songs",47
"Kelly Clarkson","Miss Independent","6: Energy Pop",47
"Kim Petras","All the Time","6: Energy Pop",47
"Lady Gaga","ARTPOP","8: Anthem Songs",47
"Lady Gaga","Dancin' in Circles","6: Energy Pop",47
"Lady Gaga","John Wayne","8: Anthem Songs",47
"Mike Posner","I Took a Pill in Ibiza - Seeb Remix","7: Dance Songs",47
"Nightly","time online","7: Dance Songs",47
"Porter Robinson","Shelter","6: Energy Pop",47
"Vanessa","I'm Me","3: ""Speak"" Pop",47
"Boys Like Girls","Love Drunk","6: Energy Pop",46
"Charli XCX","After the Afterparty (feat. Lil Yachty)","5: Live Songs",46
"Christina Grimmie","Everybody Lies","6: Energy Pop",46
"Gryffin","After You (feat. Calle Lehmann)","6: Energy Pop",46
"KC & The Sunshine Band","Give It Up","7: Dance Songs",46
"Louis Armstrong","What a Wonderful World","2: ""The Feels""",46
"Marina","Power & Control","8: Anthem Songs",46
"Pale Waves","Change","8: Anthem Songs",46
"Starship","Nothing's Gonna Stop Us Now","8: Anthem Songs",46
"Avril Lavigne","Complicated","8: Anthem Songs",45
"Britt Nicole","All the Money","8: Anthem Songs",45
"Ellie Goulding","Codes","6: Energy Pop",45
"Jesus Culture","Weight Of Heaven - Live","5: Live Songs",45
"Jim Yosef","Firefly","8: Anthem Songs",45
"Lady Gaga","Fashion of His Love","8: Anthem Songs",45
"Madeon","Love You Back","8: Anthem Songs",45
"Samantha Jade","Let Me Love You","8: Anthem Songs",45
"The B-52's","Love Shack","5: Live Songs",45
"The Band CAMINO","1 Last Cigarette","6: Energy Pop",45
"The Pointer Sisters","I'm So Excited","6: Energy Pop",45
"Vince Vance & The Valiants","All I Want for Christmas Is You","4: Sad Bops",45
"Dead or Alive","You Spin Me Round (Like a Record)","5: Live Songs",44
"Ellie Goulding","Stay Awake","6: Energy Pop",44
"Heart Of Gold","Over Yourself","8: Anthem Songs",44
"Jordin Sparks","One Step at a Time","7: Dance Songs",44
"Lady Gaga","Diamond Heart","8: Anthem Songs",44
"Little Mix","Break Up Song","8: Anthem Songs",44
"Miley Cyrus","WTF Do I Know","3: ""Speak"" Pop",44
"Roger Bart","Go The Distance","2: ""The Feels""",44
"Sigala","Came Here For Love","7: Dance Songs",44
"The Band CAMINO","Hush Hush","7: Dance Songs",44
"A Great Big World","Say Something","2: ""The Feels""",43
"Backfrom84","In the Air","4: Sad Bops",43
"Carly Rae Jepsen","No Drug Like Me","7: Dance Songs",43
"Carly Rae Jepsen","Party For One - Anki Remix","4: Sad Bops",43
"Christina Grimmie","Sublime","6: Energy Pop",43
"Fickle Friends","Heartbroken","7: Dance Songs",43
"Fickle Friends","IRL","5: Live Songs",43
"Gryffin","Intro","1: Instrumental Songs",43
"Kelly Clarkson","Don't Let Me Stop You","3: ""Speak"" Pop",43
"Mariah Carey","Christmas (Baby Please Come Home)","7: Dance Songs",43
"The Chainsmokers","If You're Serious","8: Anthem Songs",43
"Bonnie McKee","Sleepwalker","5: Live Songs",42
"Gareth Emery","We Were Young","8: Anthem Songs",42
"Jessie J","Domino","7: Dance Songs",42
"Kygo","Carry Me","4: Sad Bops",42
"Laidback Luke","XOXO (feat. Ina)","6: Energy Pop",42
"Midnight Kids","Bad For You (feat. 90's Kids)","6: Energy Pop",42
"Pale Waves","Jealousy","6: Energy Pop",42
"Rihanna","Don't Stop the Music","7: Dance Songs",42
"The Band CAMINO","Song About You","8: Anthem Songs",42
"The Bangles","Hazy Shade of Winter","6: Energy Pop",42
"Tobtok","The Stand Off (I Want You!)","7: Dance Songs",42
"Zedd","I Want You to Know","8: Anthem Songs",42
"Bonnie McKee","I Want It All","7: Dance Songs",41
"Britt Nicole","All This Time","8: Anthem Songs",41
"Kelly Clarkson","Never Again","6: Energy Pop",41
"Mannheim Steamroller","Veni Veni","1: Instrumental Songs",41
"Marina","Happy","2: ""The Feels""",41
"Marina","Numb","4: Sad Bops",41
"Nicki Minaj","Automatic","7: Dance Songs",41
"Seeb","Drink About","8: Anthem Songs",41
"Seven Lions","Don't Wanna Fall","4: Sad Bops",41
"Sia","Helium (Sia vs. David Guetta & Afrojack)","8: Anthem Songs",41
"Sigala","Just Got Paid","7: Dance Songs",41
"The Weeknd","Sacrifice","7: Dance Songs",41
"Years & Years","King","7: Dance Songs",41
"Ava Max","OMG What's Happening","7: Dance Songs",40
"Britt Nicole","Fallin in Love","8: Anthem Songs",40
"Dua Lipa","IDGAF","7: Dance Songs",40
"Hailee Steinfeld","Love Myself","5: Live Songs",40
"Hannah Montana","Life's What You Make It","5: Live Songs",40
"Katy Perry","This Is How We Do","7: Dance Songs",40
"Kelly Clarkson","Christmas Isn't Canceled (Just You)","5: Live Songs",40
"Kelly Clarkson","I Forgive You","7: Dance Songs",40
"Lucas & Steve","All Cried Out","8: Anthem Songs",40
"Milkman","All the Way (Milkman Remix)","8: Anthem Songs",40
"Rufus","The Naked Mole Rap - From Kim Possible","3: ""Speak"" Pop",40
"Syn Cole","Getaway - VIP Mix","7: Dance Songs",40
"Taylor Swift","epiphany","2: ""The Feels""",40
"Whitney Houston","I Have Nothing","4: Sad Bops",40
"Andy Williams","Happy Holiday / the Holiday Season","2: ""The Feels""",39
"Astrid S","Pretty","8: Anthem Songs",39
"Carrie Underwood","See You Again","8: Anthem Songs",39
"Cass Elliot","Make Your Own Kind of Music","2: ""The Feels""",39
"Cher","Believe","8: Anthem Songs",39
"Christina Aguilera","Reflection","4: Sad Bops",39
"Hotel Apache","Dare Me","5: Live Songs",39
"John Martin","Anywhere For You - Radio Edit","8: Anthem Songs",39
"Kari Jobe","I Am Not Alone - Live","4: Sad Bops",39
"Katy Perry","The One That Got Away","7: Dance Songs",39
"Kelly Clarkson","In the Blue","8: Anthem Songs",39
"Kelly Clarkson","Piece by Piece","8: Anthem Songs",39
"Kelly Clarkson","Walk Away","7: Dance Songs",39
"Meghan Trainor","NO","5: Live Songs",39
"Milkman","Summertime (feat. Brandon Skeie)","7: Dance Songs",39
"Samuel E. Wright","Under The Sea - From The Little Mermaid/ Soundtrack Version","2: ""The Feels""",39
"Seven Lions","First Time","4: Sad Bops",39
"Sigala","Melody","8: Anthem Songs",39
"The Go-Go's","We Got the Beat","6: Energy Pop",39
"The Weeknd","Take My Breath","8: Anthem Songs",39
"Aly & AJ","Like Whoa","7: Dance Songs",38
"Ariana Grande","Break Free","8: Anthem Songs",38
"Ariana Grande","Everyday","8: Anthem Songs",38
"Bebe Rexha","The Way I Are (Dance with Somebody)","6: Energy Pop",38
"Christina Aguilera","This Christmas","6: Energy Pop",38
"Daya","Thirsty","7: Dance Songs",38
"Ellie Goulding","Dead in the Water","4: Sad Bops",38
"Katy Perry","Waking Up in Vegas","8: Anthem Songs",38
"Kelly Clarkson","Heartbeat Song - Lenno Remix","6: Energy Pop",38
"Little Mix","Love Me Like You","7: Dance Songs",38
"Marina","How to Be a Heartbreaker","7: Dance Songs",38
"Molly Sanden","Like No One's Watching - Acoustic Version","2: ""The Feels""",38
"Phil Collins","You'll Be In My Heart","8: Anthem Songs",38
"Scavenger Hunt","Never Enough","8: Anthem Songs",38
"Taylor Dayne","Tell It to My Heart","5: Live Songs",38
"The Band CAMINO","Know It All","7: Dance Songs",38
"The Chainsmokers","I Hope You Change Your Mind","6: Energy Pop",38
"Jessica Mauboy","We Got Love","8: Anthem Songs",37
"Lady Gaga","Chromatica I","1: Instrumental Songs",37
"Lady Gaga","Poker Face - Jody Den Broeder Remix","4: Sad Bops",37
"Mannheim Steamroller","Hark! The Herald Trumpets Sing","1: Instrumental Songs",37
"NOTD","I Don't Know Why","8: Anthem Songs",37
"Troye Sivan","YOUTH","8: Anthem Songs",37
"Usher","More - RedOne Jimmy Joker Remix","5: Live Songs",37
"Ava Max","Naked","7: Dance Songs",36
"Carly Rae Jepsen","Take a Picture","7: Dance Songs",36
"Carly Rae Jepsen","This Kiss","7: Dance Songs",36
"Carly Rae Jepsen","Wrong Feels So Right","8: Anthem Songs",36
"Ciara","Thinkin Bout You","7: Dance Songs",36
"Conrad Sewell","Hold Me Up","8: Anthem Songs",36
"Frank Sinatra","I Heard The Bells On Christmas Day","2: ""The Feels""",36
"Jess Glynne","Don't Be So Hard on Yourself","7: Dance Songs",36
"Jessie J","Bang Bang","5: Live Songs",36
"Katrina & The Waves","Walking On Sunshine","7: Dance Songs",36
"Lady Gaga","Marry the Night","8: Anthem Songs",36
"Miley Cyrus","Prisoner (feat. Dua Lipa)","7: Dance Songs",36
"Nat King Cole","O Tannenbaum","2: ""The Feels""",36
"OneRepublic","I Lived","8: Anthem Songs",36
"Pat Farrell","For You - Radio Edit","8: Anthem Songs",36
"Rihanna","We Found Love","7: Dance Songs",36
"Selena Gomez","Same Old Love","8: Anthem Songs",36
"Sia","Unforgettable","2: ""The Feels""",36
"Ariana Grande","The Way","7: Dance Songs",35
"Armin van Buuren","Sucker for Love","6: Energy Pop",35
"Colony House","This Beautiful Life","2: ""The Feels""",35
"Jim Yosef","This Time","6: Energy Pop",35
"Kelly Clarkson","Catch My Breath - Cash Cash Remix","7: Dance Songs",35
"Kelly Clarkson","Mr. Know It All","8: Anthem Songs",35
"Kelly Clarkson","Second Wind - Cheat Codes Remix","6: Energy Pop",35
"Lady Gaga","Starstruck","7: Dance Songs",35
"Lee Ann Womack","I Hope You Dance","4: Sad Bops",35
"Loote","This Is How U Feel","7: Dance Songs",35
"Loote","Your Side Of The Bed","7: Dance Songs",35
"Lost Kings","Too Far Gone - Wild Cards Remix","8: Anthem Songs",35
"Metro Station","Shake It","5: Live Songs",35
"Taylor Swift","Wildest Dreams","8: Anthem Songs",35
"The Chainsmokers","Takeaway - Pilton Remix","8: Anthem Songs",35
"The Killers","Caution","6: Energy Pop",35
"Timeflies","Once In A While","5: Live Songs",35
"Van Halen","Jump","7: Dance Songs",35
"Whitney Houston","How Will I Know","7: Dance Songs",35
"Arty","Who Do You Love","8: Anthem Songs",34
"Avicii","Broken Arrows","8: Anthem Songs",34
"Avril Lavigne","Sk8er Boi","6: Energy Pop",34
"Ellie Goulding","You My Everything","6: Energy Pop",34
"Great Good Fine OK","Take It or Leave It","7: Dance Songs",34
"Hannah Montana","The Other Side of Me","5: Live Songs",34
"Iggy Azalea","Fancy","7: Dance Songs",34
"Kenny Loggins","Celebrate Me Home","2: ""The Feels""",34
"Lauren Daigle","Love Like This","4: Sad Bops",34
"LMFAO","Party Rock Anthem","8: Anthem Songs",34
"Madison Beer","Melodies","3: ""Speak"" Pop",34
"Mannheim Steamroller","Carol Of The Bells","8: Anthem Songs",34
"MercyMe","I Can Only Imagine","6: Energy Pop",34
"Molly Sanden","Why am I Crying","4: Sad Bops",34
"P!nk","U + Ur Hand","7: Dance Songs",34
"Pat Benatar","We Belong","2: ""The Feels""",34
"Seven Lions","Don't Leave","8: Anthem Songs",34
"Tove Lo","Got Love","8: Anthem Songs",34
"Alice Chater","Tonight","5: Live Songs",33
"Carpenter Brut","Maniac - Live","5: Live Songs",33
"Daughtry","Home","6: Energy Pop",33
"Dimitri Vangelis & Wyman","Coming Home","8: Anthem Songs",33
"Gryffin","OMG (with Carly Rae Jepsen) - Anki Remix","5: Live Songs",33
"Gryffin","Whole Heart","6: Energy Pop",33
"Jesus Culture","Make A Way - Live","5: Live Songs",33
"Jim Yosef","Insurgence","1: Instrumental Songs",33
"Kelly Clarkson","Gone","7: Dance Songs",33
"Lost Kings","Quit You (feat. Tinashe) - Midnight Kids Remix","8: Anthem Songs",33
"Loving Caliber","Lose You","7: Dance Songs",33
"Marshmello","Here With Me","8: Anthem Songs",33
"Seven Lions","Strangers","8: Anthem Songs",33
"Sia","Move Your Body - Alan Walker Remix","5: Live Songs",33
"Snakehips","All My Friends","8: Anthem Songs",33
"Tritonal","I Feel The Love","8: Anthem Songs",33
"Vanessa Carlton","Ordinary Day","6: Energy Pop",33
"Virginia To Vegas","Lights Out - Sondr Remix","5: Live Songs",33
"a-ha","Take On Me","7: Dance Songs",32
"Alan Walker","All Falls Down","7: Dance Songs",32
"Carly Rae Jepsen","Solo","7: Dance Songs",32
"Carrie Underwood","Lessons Learned","8: Anthem Songs",32
"Cascada","Evacuate the Dancefloor","7: Dance Songs",32
"Foxes","Body Talk","8: Anthem Songs",32
"Foxes","If You Leave Me Now","6: Energy Pop",32
"Kelly Clarkson","Dark Side","8: Anthem Songs",32
"Krewella","Alive","8: Anthem Songs",32
"Kristene DiMarco","It Is Well (Live)","4: Sad Bops",32
"Lady Gaga","I'll Never Love - Extended Version - Radio Edit","4: Sad Bops",32
"Lauren Daigle","Still Rolling Stones","8: Anthem Songs",32
"Pale Waves","Drive","8: Anthem Songs",32
"Paramore","Ain't It Fun","7: Dance Songs",32
"Selena Gomez","Good for You","8: Anthem Songs",32
"Verka Serduchka","Dancing Lasha Tumbai","7: Dance Songs",32
"Vigiland","Dad Are You Listening?","5: Live Songs",32
"Ariana Grande","One Last Time","8: Anthem Songs",31
"Britt Nicole","The Sun Is Rising","4: Sad Bops",31
"Bruce Springsteen","Born in the U.S.A.","8: Anthem Songs",31
"Carly Rae Jepsen","Julien","7: Dance Songs",31
"Christina Grimmie","Deception","2: ""The Feels""",31
"Clean Bandit","Symphony (feat. Zara Larsson)","8: Anthem Songs",31
"Eva","Touch Me","7: Dance Songs",31
"Feenixpawl","Let Me Out","8: Anthem Songs",31
"Galantis","Runaway (U & I)","8: Anthem Songs",31
"Hillsong United","Heaven Knows","2: ""The Feels""",31
"Katy Perry","Chained to the Rhythm","8: Anthem Songs",31
"Kelly Clarkson","Beautiful Disaster (Live)","2: ""The Feels""",31
"Kiesza","Crave","8: Anthem Songs",31
"Kristin Chenoweth","Defying Gravity - From Wicked Original Broadway Cast Recording/2003","4: Sad Bops",31
"Lady Gaga","Dope","4: Sad Bops",31
"Loverboy","Working for the Weekend","5: Live Songs",31
"Samantha Jade","Show Me Love","8: Anthem Songs",31
"Selena Gomez","Back To You - Anki Remix","8: Anthem Songs",31
"TeamMate","Nothing's Ever Over","5: Live Songs",31
"The Aces","Daydream","7: Dance Songs",31
"The Barden Bellas","Bellas Finals: Price Tag/Don't You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around","4: Sad Bops",31
"*NSYNC","It's Gonna Be Me","7: Dance Songs",30
"Alesso","Heroes (We Could Be)","8: Anthem Songs",30
"Britney Spears","...Baby One More Time","5: Live Songs",30
"Christina Aguilera","Beautiful","4: Sad Bops",30
"Christina Grimmie","I Bet You Don't Curse God","2: ""The Feels""",30
"Daniel Powter","Bad Day","8: Anthem Songs",30
"Gryffin","Bye Bye (feat. Ivy Adara)","6: Energy Pop",30
"Hannah Montana","Rockstar - Original Version","6: Energy Pop",30
"Jessie J","Part Of Your World - From The Little Mermaid","2: ""The Feels""",30
"Katy Perry","Dark Horse","8: Anthem Songs",30
"Kelly Clarkson","Piece by Piece - Idol Version","2: ""The Feels""",30
"Marina","Hypocrates","8: Anthem Songs",30
"MUNA","Sometimes - From Fire Island","8: Anthem Songs",30
"Rihanna","SOS","5: Live Songs",30
"Ryn Weaver","Sail On","4: Sad Bops",30
"Selena Gomez","Slow Down","5: Live Songs",30
"Sia","Unstoppable","6: Energy Pop",30
"Susan Egan","I Won't Say (I'm In Love)","7: Dance Songs",30
"The Ivy","Thirty Eight","8: Anthem Songs",30
"The Romantics","What I Like About You","6: Energy Pop",30
"The Wanted","Walks Like Rihanna","8: Anthem Songs",30
"Trans-Siberian Orchestra","Christmas Eve/ Sarajevo","1: Instrumental Songs",30
"Celine Dion","That's the Way It Is","8: Anthem Songs",29
"Christina Aguilera","Lady Marmalade - From Moulin Rouge Soundtrack","5: Live Songs",29
"Ellie Goulding","Don't Panic","8: Anthem Songs",29
"Ellie Goulding","Starry Eyed","6: Energy Pop",29
"Gayla Peevey","I Want a Hippopotamus for Christmas (Hippo the Hero)","2: ""The Feels""",29
"John De Sohn","I Met Somebody","8: Anthem Songs",29
"Kelly Clarkson","Santa Can't You Hear Me","6: Energy Pop",29
"Lady Gaga","Chromatica II","1: Instrumental Songs",29
"Marina","Man's World","8: Anthem Songs",29
"Martin Solveig","The Night Out (Madeon Remix)","8: Anthem Songs",29
"Miya Miya","Underwater","8: Anthem Songs",29
"Pale Waves","She","6: Energy Pop",29
"Samantha Jade","Wait For It","6: Energy Pop",29
"The Barden Bellas","Bellas Regionals: The Sign/Eternal Flame/Turn The Beat Around","2: ""The Feels""",29
"The Chainsmokers","Don't Let Me Down - Illenium Remix","8: Anthem Songs",29
"The Motion Epic","You're Not Ready","7: Dance Songs",29
"Britt Nicole","Have Your Way","6: Energy Pop",28
"Britt Nicole","Ready or Not","6: Energy Pop",28
"Burl Ives","A Holly Jolly Christmas","2: ""The Feels""",28
"Carlie Hanson","Back in My Arms","6: Energy Pop",28
"Destiny's Child","Survivor","3: ""Speak"" Pop",28
"Ellie Goulding","Your Biggest Mistake","8: Anthem Songs",28
"Gryffin","Body Back (feat. Maia Wright) - Deniz Koyu Remix","8: Anthem Songs",28
"Haley Reinhart","Can't Help Falling In Love","2: ""The Feels""",28
"Hilary Duff","What Dreams Are Made Of","5: Live Songs",28
"Hillsong United","Touch the Sky","4: Sad Bops",28
"Kelly Clarkson","Addicted","6: Energy Pop",28
"Lady Gaga","Alejandro","5: Live Songs",28
"Lady Gaga","Hold My Hand","6: Energy Pop",28
"Lana Del Rey","Love","4: Sad Bops",28
"Martin Garrix","Scared to Be Lonely","8: Anthem Songs",28
"Nicki Minaj","Va Va Voom","7: Dance Songs",28
"P!nk","Can We Pretend","3: ""Speak"" Pop",28
"Rascal Flatts","Life Is a Highway","8: Anthem Songs",28
"Rita Ora","I Will Never Let You Down","7: Dance Songs",28
"The Band CAMINO","Honest","7: Dance Songs",28
"Vince Guaraldi Trio","O Tannenbaum","2: ""The Feels""",28
"3LAU","Miss Me More","8: Anthem Songs",27
"Ariana Grande","Focus","3: ""Speak"" Pop",27
"Britt Nicole","Ready Or Not - Phenomenon Remix By Soul Glow Activatur","3: ""Speak"" Pop",27
"Enya","O Come O Come Emmanuel","2: ""The Feels""",27
