"Artist","Track","cluster","total_track_streams"
"Eric Prydz","Call On Me - Radio Edit","3: ""Speak"" Pop",220
"Tove Lo","True Disaster","8: Anthem Songs",220
"Cheat Codes","Sex","8: Anthem Songs",216
"Aly & AJ","Greatest Time of Year","5: Live Songs",215
"Carly Rae Jepsen","Store","7: Dance Songs",207
"Nightly","Twenty Something","8: Anthem Songs",207
"Dua Lipa","New Rules - Initial Talk Remix","7: Dance Songs",206
"Jesus Culture","Set A Fire - Live","4: Sad Bops",206
"Carly Rae Jepsen","Warm Blood","8: Anthem Songs",202
"Ava Max","Maybe You're the Problem","6: Energy Pop",200
"Carly Rae Jepsen","Never Get to Hold You - Bonus Track","8: Anthem Songs",197
"Lady Gaga","911","5: Live Songs",196
"Carly Rae Jepsen","When I Needed You","6: Energy Pop",195
"Carly Rae Jepsen","Emotion","8: Anthem Songs",194
"Demi Lovato","Cool for the Summer","8: Anthem Songs",194
"Aly & AJ","Potential Breakup Song","5: Live Songs",193
"Zedd","Clarity","8: Anthem Songs",193
"Ava Max","Kings & Queens","8: Anthem Songs",192
"Ben Platt","Waving Through A Window","6: Energy Pop",192
"Kim Petras","Massacre","4: Sad Bops",190
"Lady Gaga","Babylon","8: Anthem Songs",190
"Men at Work","Down Under","7: Dance Songs",190
"Seeb","Fade Out","8: Anthem Songs",190
"The Band CAMINO","See Through","7: Dance Songs",189
"Charli XCX","Good Ones","7: Dance Songs",188
"Sia","Broken Glass","6: Energy Pop",188
"Dua Lipa","Hallucinate","7: Dance Songs",186
"Ellie Goulding","Lost and Found","7: Dance Songs",185
"Ariana Grande","Greedy","7: Dance Songs",183
"Dua Lipa","Be the One","8: Anthem Songs",183
"Taylor Swift","Out of the Woods","8: Anthem Songs",182
"Walk the Moon","Shut Up and Dance","7: Dance Songs",182
"Gryffin","Nobody Compares to You (feat. Katie Pearlman)","8: Anthem Songs",181
"Audiomachine","We Are Gods","1: Instrumental Songs",179
"Ellie Goulding","Scream It Out","6: Energy Pop",178
"Kelly Clarkson","Run Run Rudolph","7: Dance Songs",177
"Natasha Bedingfield","Unwritten","7: Dance Songs",177
"Carly Rae Jepsen","Stay Away","3: ""Speak"" Pop",176
"Delta Goodrem","Welcome to Earth","3: ""Speak"" Pop",173
"Lady Gaga","MANiCURE","5: Live Songs",172
"The Spacies","Round & Round - Pilton Remix","4: Sad Bops",172
"The Chainsmokers","Closer","7: Dance Songs",171
"Ellie Goulding","Burn","8: Anthem Songs",170
"Nicki Minaj","Starships","7: Dance Songs",169
"Ellie Goulding","Around U","6: Energy Pop",168
"Kelly Clarkson","Catch My Breath","8: Anthem Songs",168
"Ariana Grande","breathin","8: Anthem Songs",167
"Jesus Culture","Miracles - Live","4: Sad Bops",167
"Kelly Clarkson","Heartbeat Song - Didrick Remix","6: Energy Pop",167
"Rachel Platten","Stand By You","3: ""Speak"" Pop",167
"CXLOE","Show You","8: Anthem Songs",164
"Kim Petras","Close Your Eyes","8: Anthem Songs",164
"Ava Max","Born to the Night","8: Anthem Songs",163
"Carly Rae Jepsen","Higher","5: Live Songs",162
"Katy Perry","California Gurls","8: Anthem Songs",161
"Britt Nicole","Set The World On Fire - Neon Feather Remix","8: Anthem Songs",159
"Robin Sparkles","Let's Go to the Mall - From How I Met Your Mother: Season 2","7: Dance Songs",159
"Charli XCX","How Can I Not Know What I Need Right Now","5: Live Songs",158
"Taylor Swift","I Wish You Would","8: Anthem Songs",158
"Evanescence","Bring Me to Life","8: Anthem Songs",156
"Gryffin","OMG (with Carly Rae Jepsen)","6: Energy Pop",156
"Porter Robinson","Something Comforting","4: Sad Bops",156
