"monthyear","cluster","streams","percent","index"
Feb 2022,"1: Instrumental Songs",9,0.00751252086811352,33.3412830908657
Mar 2022,"1: Instrumental Songs",3,0.00190234622701332,8.44279373131624
Apr 2022,"1: Instrumental Songs",1,0.000597728631201434,2.65277659180827
May 2022,"1: Instrumental Songs",6,0.00362976406533575,16.1092386137758
Jun 2022,"1: Instrumental Songs",13,0.00792199878123096,35.1585850671774
Jul 2022,"1: Instrumental Songs",10,0.00564334085778781,25.0456841878964
Oct 2015,"2: ""The Feels""",88,0.0570317563188594,71.3471099183583
Nov 2015,"2: ""The Feels""",145,0.0868263473053892,108.620343206205
Dec 2015,"2: ""The Feels""",31,0.0493630573248408,61.7535160090625
Jan 2016,"2: ""The Feels""",10,0.0119617224880383,14.9641951125526
Feb 2016,"2: ""The Feels""",5,0.010752688172043,13.4516850689182
Mar 2016,"2: ""The Feels""",22,0.0307262569832402,38.4387537025233
Apr 2016,"2: ""The Feels""",18,0.0151898734177215,19.0026335910288
May 2016,"2: ""The Feels""",104,0.0580357142857143,72.6030680728667
Jun 2016,"2: ""The Feels""",95,0.108820160366552,136.134750955203
Jul 2016,"2: ""The Feels""",33,0.0548172757475083,68.5767798613124
Aug 2016,"2: ""The Feels""",18,0.0186915887850467,23.3833030169981
Sep 2016,"2: ""The Feels""",36,0.0288,36.0289932885906
Oct 2016,"2: ""The Feels""",108,0.0861931364724661,107.828192204481
Nov 2016,"2: ""The Feels""",107,0.108409321175279,135.62078836961
Dec 2016,"2: ""The Feels""",148,0.098078197481776,122.696483292638
Mar 2017,"2: ""The Feels""",53,0.0312868949232586,39.140115528157
Apr 2017,"2: ""The Feels""",69,0.0401162790697674,50.1857343530513
May 2017,"2: ""The Feels""",68,0.0428481411468179,53.6033121460863
Jun 2017,"2: ""The Feels""",14,0.0110847189231987,13.8670577670083
Jul 2017,"2: ""The Feels""",44,0.0437810945273632,54.7704430865805
Aug 2017,"2: ""The Feels""",19,0.0304975922953451,38.1526926433042
Sep 2017,"2: ""The Feels""",34,0.0439276485788114,54.9537831885264
Oct 2017,"2: ""The Feels""",66,0.0755148741418764,94.4696143627232
Nov 2017,"2: ""The Feels""",246,0.171548117154812,214.607845890315
Dec 2017,"2: ""The Feels""",93,0.05893536121673,73.7285324214663
Jan 2018,"2: ""The Feels""",60,0.0242816673411574,30.3765288079983
Feb 2018,"2: ""The Feels""",54,0.0235294117647059,29.4354520331623
Mar 2018,"2: ""The Feels""",35,0.0125989920806336,15.7614236498664
Apr 2018,"2: ""The Feels""",7,0.002870028700287,3.59042516599663
May 2018,"2: ""The Feels""",32,0.0141342756183746,17.6820736594968
Jun 2018,"2: ""The Feels""",98,0.0415254237288136,51.9485837788647
Jul 2018,"2: ""The Feels""",66,0.028193079880393,35.2697321456728
Aug 2018,"2: ""The Feels""",66,0.026677445432498,33.3736632793129
Sep 2018,"2: ""The Feels""",33,0.014410480349345,18.0276076316638
Oct 2018,"2: ""The Feels""",174,0.0808174640037157,101.103189867736
Nov 2018,"2: ""The Feels""",73,0.0380208333333333,47.5643176733781
Dec 2018,"2: ""The Feels""",53,0.0257406508013599,32.2017269085469
Jan 2019,"2: ""The Feels""",12,0.00762873490146217,9.54359856129228
Feb 2019,"2: ""The Feels""",22,0.0135052179251074,16.8951182633559
Mar 2019,"2: ""The Feels""",25,0.0151699029126214,18.9776503551183
Apr 2019,"2: ""The Feels""",26,0.0142543859649123,17.8323325091252
May 2019,"2: ""The Feels""",39,0.0227140361094933,28.4154116161715
Jun 2019,"2: ""The Feels""",22,0.0147255689424364,18.4217855763097
Jul 2019,"2: ""The Feels""",31,0.0214088397790055,26.7826022470244
Aug 2019,"2: ""The Feels""",10,0.00934579439252336,11.691651508499
Sep 2019,"2: ""The Feels""",13,0.0134158926728586,16.7833717732943
Oct 2019,"2: ""The Feels""",45,0.0316901408450704,39.6445788826921
Nov 2019,"2: ""The Feels""",54,0.0416345412490362,52.0850905289957
Dec 2019,"2: ""The Feels""",58,0.0379084967320261,47.4237838312059
Jan 2020,"2: ""The Feels""",24,0.0149719276356831,18.7299819549754
Feb 2020,"2: ""The Feels""",9,0.0075885328836425,9.49330556718766
Mar 2020,"2: ""The Feels""",10,0.0061576354679803,7.70324329685589
Apr 2020,"2: ""The Feels""",41,0.037962962962963,47.491921451653
May 2020,"2: ""The Feels""",26,0.0161090458488228,20.152524471279
Jun 2020,"2: ""The Feels""",44,0.0277427490542245,34.7063652597815
Jul 2020,"2: ""The Feels""",33,0.0256809338521401,32.127020604288
Aug 2020,"2: ""The Feels""",27,0.022149302707137,27.7089263396667
Sep 2020,"2: ""The Feels""",16,0.0103559870550162,12.9554093090941
Oct 2020,"2: ""The Feels""",56,0.0402010050251256,50.291727091835
Nov 2020,"2: ""The Feels""",34,0.0278688524590164,34.8641214655078
Dec 2020,"2: ""The Feels""",93,0.0727699530516432,91.0356996565523
Jan 2021,"2: ""The Feels""",26,0.0193596425912137,24.2190428120955
Feb 2021,"2: ""The Feels""",4,0.00396432111000991,4.95939231480434
Mar 2021,"2: ""The Feels""",5,0.00335795836131632,4.20082844664001
Apr 2021,"2: ""The Feels""",9,0.00651701665459812,8.15283157326905
May 2021,"2: ""The Feels""",5,0.00360230547550432,4.50650832640272
Jun 2021,"2: ""The Feels""",0,0,0
Jul 2021,"2: ""The Feels""",11,0.00956521739130435,11.9661511526116
Aug 2021,"2: ""The Feels""",5,0.00440528634361234,5.51104278153919
Sep 2021,"2: ""The Feels""",23,0.0196749358426005,24.6134767856425
Oct 2021,"2: ""The Feels""",32,0.0249027237354086,31.1534745253702
Nov 2021,"2: ""The Feels""",59,0.0357575757575758,44.7329672564572
Dec 2021,"2: ""The Feels""",108,0.0586319218241042,73.3489277047854
Jan 2022,"2: ""The Feels""",18,0.0141732283464567,17.7308037837552
Feb 2022,"2: ""The Feels""",13,0.0108514190317195,13.5751980369968
Mar 2022,"2: ""The Feels""",9,0.00570703868103995,7.139543692254
Apr 2022,"2: ""The Feels""",6,0.00358637178720861,4.48657517540728
May 2022,"2: ""The Feels""",2,0.00120992135511192,1.51361973552256
Jun 2022,"2: ""The Feels""",10,0.00609384521633151,7.62344126392076
Jul 2022,"2: ""The Feels""",15,0.00846501128668172,10.5897859317951
Oct 2015,"3: ""Speak"" Pop",67,0.0434219053791316,105.114846268443
Nov 2015,"3: ""Speak"" Pop",45,0.0269461077844311,65.2305778054281
Dec 2015,"3: ""Speak"" Pop",22,0.035031847133758,84.8043676069154
Jan 2016,"3: ""Speak"" Pop",43,0.0514354066985646,124.513763748214
Feb 2016,"3: ""Speak"" Pop",18,0.0387096774193548,93.7075827398408
Mar 2016,"3: ""Speak"" Pop",30,0.0418994413407821,101.429296960023
Apr 2016,"3: ""Speak"" Pop",62,0.0523206751054852,126.656803112499
May 2016,"3: ""Speak"" Pop",179,0.0998883928571429,241.807745825603
Jun 2016,"3: ""Speak"" Pop",90,0.103092783505155,249.564868121569
Jul 2016,"3: ""Speak"" Pop",37,0.0614617940199336,148.785433835268
Aug 2016,"3: ""Speak"" Pop",71,0.0737279335410177,178.479049507087
Sep 2016,"3: ""Speak"" Pop",114,0.0912,220.775064935065
Oct 2016,"3: ""Speak"" Pop",176,0.140462889066241,340.029643142173
Nov 2016,"3: ""Speak"" Pop",67,0.0678824721377913,164.32847800629
Dec 2016,"3: ""Speak"" Pop",115,0.0762094102054341,184.486156653155
Mar 2017,"3: ""Speak"" Pop",73,0.0430932703659976,104.319293457428
Apr 2017,"3: ""Speak"" Pop",67,0.038953488372093,94.2977952280278
May 2017,"3: ""Speak"" Pop",67,0.0422180214240706,102.200509005802
Jun 2017,"3: ""Speak"" Pop",60,0.0475059382422803,115.001388160533
Jul 2017,"3: ""Speak"" Pop",35,0.0348258706467662,84.3057440072365
Aug 2017,"3: ""Speak"" Pop",14,0.0224719101123595,54.3995330512184
Sep 2017,"3: ""Speak"" Pop",40,0.0516795865633075,125.104869290916
Oct 2017,"3: ""Speak"" Pop",61,0.0697940503432494,168.955986804957
Nov 2017,"3: ""Speak"" Pop",146,0.101813110181311,246.467061529823
Dec 2017,"3: ""Speak"" Pop",63,0.0399239543726236,96.6470791565849
Jan 2018,"3: ""Speak"" Pop",65,0.0263051396195872,63.6789353907929
Feb 2018,"3: ""Speak"" Pop",89,0.0387799564270153,93.8777127012421
Mar 2018,"3: ""Speak"" Pop",60,0.0215982721382289,52.2846483969594
Apr 2018,"3: ""Speak"" Pop",161,0.0660106601066011,159.79723433598
May 2018,"3: ""Speak"" Pop",126,0.0556537102473498,134.725345326052
Jun 2018,"3: ""Speak"" Pop",119,0.0504237288135593,122.064714946071
Jul 2018,"3: ""Speak"" Pop",147,0.0627936779154208,152.009630693954
Aug 2018,"3: ""Speak"" Pop",168,0.0679062247372676,164.385977805541
Sep 2018,"3: ""Speak"" Pop",191,0.0834061135371179,201.907786536607
Oct 2018,"3: ""Speak"" Pop",208,0.0966093822573154,233.869985100826
Nov 2018,"3: ""Speak"" Pop",59,0.0307291666666667,74.3885281385281
Dec 2018,"3: ""Speak"" Pop",100,0.0485672656629432,117.570627526917
Jan 2019,"3: ""Speak"" Pop",77,0.048951048951049,118.499682136046
Feb 2019,"3: ""Speak"" Pop",46,0.0282381829343155,68.3584064799534
Mar 2019,"3: ""Speak"" Pop",110,0.066747572815534,161.581137309293
Apr 2019,"3: ""Speak"" Pop",108,0.0592105263157895,143.335611756664
May 2019,"3: ""Speak"" Pop",28,0.0163075131042516,39.4768888653571
Jun 2019,"3: ""Speak"" Pop",17,0.0113788487282463,27.5456805577287
Jul 2019,"3: ""Speak"" Pop",18,0.0124309392265193,30.0925593743273
Aug 2019,"3: ""Speak"" Pop",34,0.0317757009345794,76.9219565481248
Sep 2019,"3: ""Speak"" Pop",60,0.0619195046439628,149.893450203048
Oct 2019,"3: ""Speak"" Pop",50,0.0352112676056338,85.2387049570148
Nov 2019,"3: ""Speak"" Pop",39,0.0300693909020817,72.7913566772472
Dec 2019,"3: ""Speak"" Pop",72,0.0470588235294118,113.919022154316
Jan 2020,"3: ""Speak"" Pop",30,0.0187149095446039,45.3046641443398
Feb 2020,"3: ""Speak"" Pop",10,0.00843170320404722,20.4112919121351
Mar 2020,"3: ""Speak"" Pop",57,0.0350985221674877,84.965773143113
Apr 2020,"3: ""Speak"" Pop",25,0.0231481481481481,56.036556036556
May 2020,"3: ""Speak"" Pop",48,0.0297397769516729,71.9934340752185
Jun 2020,"3: ""Speak"" Pop",58,0.0365699873896595,88.5278655770459
Jul 2020,"3: ""Speak"" Pop",66,0.0513618677042802,124.335742078933
Aug 2020,"3: ""Speak"" Pop",38,0.0311730926989336,75.4631750530028
Sep 2020,"3: ""Speak"" Pop",72,0.0466019417475728,112.813012230488
Oct 2020,"3: ""Speak"" Pop",57,0.04091888011486,99.0555747196092
Nov 2020,"3: ""Speak"" Pop",29,0.0237704918032787,57.5431126250798
Dec 2020,"3: ""Speak"" Pop",54,0.0422535211267606,102.286445948418
Jan 2021,"3: ""Speak"" Pop",50,0.0372300819061802,90.1258086663894
Feb 2021,"3: ""Speak"" Pop",34,0.0336967294350842,81.5723424246715
Mar 2021,"3: ""Speak"" Pop",74,0.0496977837474815,120.307362214683
Apr 2021,"3: ""Speak"" Pop",48,0.0347574221578566,84.1400453275906
May 2021,"3: ""Speak"" Pop",31,0.0223342939481268,54.0663947004005
Jun 2021,"3: ""Speak"" Pop",304,0.167493112947658,405.463847447318
Jul 2021,"3: ""Speak"" Pop",104,0.0904347826086957,218.922642574816
Aug 2021,"3: ""Speak"" Pop",79,0.0696035242290749,168.494765146748
